Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
PIT,2021-11-14,306,Sun,9,10,,DET,T 16-16 (OT),306,0,PIT_DET_2021-11-14
PIT,2021-10-31,306,Sun,7,8,@,CLE,W 15-10,306,1,PIT_CLE_2021-10-31
MIN,2021-10-17,306,Sun,6,6,@,CAR,W 34-28 (OT),306,3,MIN_CAR_2021-10-17
PHI,2021-09-19,306,Sun,2,2,,SFO,L 11-17,306,0,PHI_SFO_2021-09-19
TEN,2020-11-22,306,Sun,10,11,@,BAL,W 30-24 (OT),306,1,TEN_BAL_2020-11-22
BAL,2020-09-13,306,Sun,1,1,,CLE,W 38-6,306,3,BAL_CLE_2020-09-13
PIT,2019-11-10,306,Sun,9,10,,LAR,W 17-12,306,4,PIT_LAR_2019-11-10
BUF,2019-09-22,306,Sun,3,3,,CIN,W 21-17,306,4,BUF_CIN_2019-09-22
DEN,2018-09-09,306,Sun,1,1,,SEA,W 27-24,306,3,DEN_SEA_2018-09-09
ATL,2017-12-07,306,Thu,13,14,,NOR,W 20-17,306,1,ATL_NOR_2017-12-07
PIT,2017-09-24,306,Sun,3,3,@,CHI,L 17-23 (OT),306,2,PIT_CHI_2017-09-24
DEN,2022-10-30,305,Sun,8,8,@,JAX,W 21-17,305,2,DEN_JAX_2022-10-30
SEA,2022-01-09,305,Sun,17,18,@,ARI,W 38-30,305,1,SEA_ARI_2022-01-09
GNB,2019-12-29,305,Sun,16,17,@,DET,W 23-20,305,1,GNB_DET_2019-12-29
MIA,2019-10-20,305,Sun,6,7,@,BUF,L 21-31,305,0,MIA_BUF_2019-10-20
CHI,2018-11-11,305,Sun,9,10,,DET,W 34-22,305,3,CHI_DET_2018-11-11
TAM,2018-10-21,305,Sun,6,7,,CLE,W 26-23 (OT),305,1,TAM_CLE_2018-10-21
DAL,2018-10-21,305,Sun,7,7,@,WAS,L 17-20,305,0,DAL_WAS_2018-10-21
NYG,2018-09-09,305,Sun,1,1,,JAX,L 15-20,305,1,NYG_JAX_2018-09-09
LAR,2017-12-03,305,Sun,12,13,@,ARI,W 32-16,305,2,LAR_ARI_2017-12-03
PHI,2017-10-12,305,Thu,6,6,@,CAR,W 28-23,305,3,PHI_CAR_2017-10-12
ARI,2017-10-01,305,Sun,4,4,,SFO,W 18-15 (OT),305,1,ARI_SFO_2017-10-01
CAR,2023-01-08,304,Sun,17,18,@,NOR,W 10-7,304,1,CAR_NOR_2023-01-08
PHI,2022-12-11,304,Sun,13,14,@,NYG,W 48-22,304,1,PHI_NYG_2022-12-11
HOU,2022-12-04,304,Sun,12,13,,CLE,L 14-27,304,2,HOU_CLE_2022-12-04
PIT,2022-10-16,304,Sun,6,6,,TAM,W 20-18,304,0,PIT_TAM_2022-10-16
NYG,2022-10-02,304,Sun,4,4,,CHI,W 20-12,304,3,NYG_CHI_2022-10-02
MIA,2021-11-11,304,Thu,10,10,,BAL,W 22-10,304,2,MIA_BAL_2021-11-11
SEA,2021-10-25,304,Mon,7,7,,NOR,L 10-13,304,1,SEA_NOR_2021-10-25
WAS,2021-10-24,304,Sun,7,7,@,GNB,L 10-24,304,1,WAS_GNB_2021-10-24
SFO,2021-10-10,304,Sun,5,5,@,ARI,L 10-17,304,1,SFO_ARI_2021-10-10
LVR,2020-11-29,304,Sun,11,12,@,ATL,L 6-43,304,1,LVR_ATL_2020-11-29
ATL,2020-10-29,304,Thu,8,8,@,CAR,W 25-17,304,1,ATL_CAR_2020-10-29
PHI,2020-09-27,304,Sun,3,3,,CIN,T 23-23 (OT),304,0,PHI_CIN_2020-09-27
NYG,2020-09-20,304,Sun,2,2,@,CHI,L 13-17,304,2,NYG_CHI_2020-09-20
BAL,2020-09-20,304,Sun,2,2,@,HOU,W 33-16,304,2,BAL_HOU_2020-09-20
PIT,2019-12-29,304,Sun,16,17,@,BAL,L 10-28,304,2,PIT_BAL_2019-12-29
SFO,2017-10-29,304,Sun,8,8,@,PHI,L 10-33,304,1,SFO_PHI_2017-10-29
PHI,2022-11-03,303,Thu,8,9,@,HOU,W 29-17,303,2,PHI_HOU_2022-11-03
KAN,2021-12-26,303,Sun,15,16,,PIT,W 36-10,303,3,KAN_PIT_2021-12-26
CLE,2021-11-28,303,Sun,12,12,@,BAL,L 10-16,303,4,CLE_BAL_2021-11-28
MIA,2020-12-20,303,Sun,14,15,,NWE,W 22-12,303,1,MIA_NWE_2020-12-20
NYJ,2020-12-20,303,Sun,14,15,@,LAR,W 23-20,303,1,NYJ_LAR_2020-12-20
MIN,2020-12-13,303,Sun,13,14,@,TAM,L 14-26,303,0,MIN_TAM_2020-12-13
CHI,2020-10-18,303,Sun,6,6,@,CAR,W 23-16,303,3,CHI_CAR_2020-10-18
BUF,2019-11-17,303,Sun,10,11,@,MIA,W 37-20,303,1,BUF_MIA_2019-11-17
WAS,2018-10-28,303,Sun,7,8,@,NYG,W 20-13,303,2,WAS_NYG_2018-10-28
IND,2018-10-21,303,Sun,7,7,,BUF,W 37-5,303,5,IND_BUF_2018-10-21
SEA,2018-09-23,303,Sun,3,3,,DAL,W 24-13,303,3,SEA_DAL_2018-09-23
ARI,2017-12-03,303,Sun,12,13,,LAR,L 16-32,303,1,ARI_LAR_2017-12-03
BAL,2017-11-27,303,Mon,11,12,,HOU,W 23-16,303,3,BAL_HOU_2017-11-27
NYJ,2023-01-08,302,Sun,17,18,@,MIA,L 6-11,302,0,NYJ_MIA_2023-01-08
LAR,2022-12-08,302,Thu,13,14,,LVR,W 17-16,302,2,LAR_LVR_2022-12-08
PHI,2022-10-30,302,Sun,7,8,,PIT,W 35-13,302,2,PHI_PIT_2022-10-30
DAL,2021-12-19,302,Sun,14,15,@,NYG,W 21-6,302,4,DAL_NYG_2021-12-19
NOR,2021-12-19,302,Sun,14,15,@,TAM,W 9-0,302,2,NOR_TAM_2021-12-19
LAC,2021-11-28,302,Sun,11,12,@,DEN,L 13-28,302,1,LAC_DEN_2021-11-28
CAR,2021-10-24,302,Sun,7,7,@,NYG,L 3-25,302,0,CAR_NYG_2021-10-24
CLE,2021-09-19,302,Sun,2,2,,HOU,W 31-21,302,2,CLE_HOU_2021-09-19
WAS,2020-12-20,302,Sun,14,15,,SEA,L 15-20,302,1,WAS_SEA_2020-12-20
NYJ,2020-10-18,302,Sun,6,6,@,MIA,L 0-24,302,2,NYJ_MIA_2020-10-18
LAC,2020-09-27,302,Sun,3,3,,CAR,L 16-21,302,0,LAC_CAR_2020-09-27
SEA,2019-11-11,302,Mon,10,10,@,SFO,W 27-24 (OT),302,3,SEA_SFO_2019-11-11
CLE,2019-11-03,302,Sun,8,9,@,DEN,L 19-24,302,1,CLE_DEN_2019-11-03
MIN,2019-09-22,302,Sun,3,3,,OAK,W 34-14,302,1,MIN_OAK_2019-09-22
JAX,2018-09-16,302,Sun,2,2,,NWE,W 31-20,302,1,JAX_NWE_2018-09-16
WAS,2023-01-01,301,Sun,16,17,,CLE,L 10-24,301,0,WAS_CLE_2023-01-01
MIA,2022-12-25,301,Sun,15,16,,GNB,L 20-26,301,1,MIA_GNB_2022-12-25
WAS,2022-11-06,301,Sun,9,9,,MIN,L 17-20,301,1,WAS_MIN_2022-11-06
NYG,2022-10-09,301,Sun,5,5,@,GNB,W 27-22,301,0,NYG_GNB_2022-10-09
ARI,2022-01-02,301,Sun,16,17,@,DAL,W 25-22,301,1,ARI_DAL_2022-01-02
CIN,2021-11-28,301,Sun,11,12,,PIT,W 41-10,301,3,CIN_PIT_2021-11-28
JAX,2021-11-07,301,Sun,8,9,,BUF,W 9-6,301,3,JAX_BUF_2021-11-07
KAN,2021-11-07,301,Sun,9,9,,GNB,W 13-7,301,2,KAN_GNB_2021-11-07
TAM,2021-10-10,301,Sun,5,5,,MIA,W 45-17,301,2,TAM_MIA_2021-10-10
PHI,2020-11-30,301,Mon,11,12,,SEA,L 17-23,301,0,PHI_SEA_2020-11-30
TEN,2019-12-29,301,Sun,16,17,@,HOU,W 35-14,301,1,TEN_HOU_2019-12-29
NYG,2018-12-16,301,Sun,14,15,,TEN,L 0-17,301,0,NYG_TEN_2018-12-16
CAR,2018-11-04,301,Sun,8,9,,TAM,W 42-28,301,2,CAR_TAM_2018-11-04
PHI,2017-12-31,301,Sun,16,17,,DAL,L 0-6,301,1,PHI_DAL_2017-12-31
GNB,2017-09-24,301,Sun,3,3,,CIN,W 27-24 (OT),301,1,GNB_CIN_2017-09-24
ATL,2017-09-10,301,Sun,1,1,@,CHI,W 23-17,301,0,ATL_CHI_2017-09-10
DAL,2022-11-24,300,Thu,11,12,,NYG,W 28-20,300,0,DAL_NYG_2022-11-24
LAC,2021-11-21,300,Sun,10,11,,PIT,W 41-37,300,0,LAC_PIT_2021-11-21
KAN,2021-11-01,300,Mon,8,8,,NYG,W 20-17,300,1,KAN_NYG_2021-11-01
NOR,2021-09-26,300,Sun,3,3,@,NWE,W 28-13,300,3,NOR_NWE_2021-09-26
DAL,2020-10-11,300,Sun,5,5,,NYG,W 37-34,300,1,DAL_NYG_2020-10-11
WAS,2020-09-27,300,Sun,3,3,@,CLE,L 20-34,300,0,WAS_CLE_2020-09-27
CHI,2019-12-29,300,Sun,16,17,@,MIN,W 21-19,300,3,CHI_MIN_2019-12-29
MIA,2019-11-10,300,Sun,9,10,@,IND,W 16-12,300,3,MIA_IND_2019-11-10
OAK,2018-12-24,300,Mon,15,16,,DEN,W 27-14,300,2,OAK_DEN_2018-12-24
ATL,2018-12-09,300,Sun,13,14,@,GNB,L 20-34,300,0,ATL_GNB_2018-12-09
CHI,2017-10-09,300,Mon,5,5,,MIN,L 17-20,300,0,CHI_MIN_2017-10-09
ATL,2022-12-24,299,Sat,15,16,@,BAL,L 9-17,299,0,ATL_BAL_2022-12-24
LVR,2022-10-02,299,Sun,4,4,,DEN,W 32-23,299,1,LVR_DEN_2022-10-02
IND,2022-09-11,299,Sun,1,1,@,HOU,T 20-20 (OT),299,1,IND_HOU_2022-09-11
CLE,2022-01-03,299,Mon,16,17,@,PIT,L 14-26,299,1,CLE_PIT_2022-01-03
CHI,2021-11-21,299,Sun,10,11,,BAL,L 13-16,299,1,CHI_BAL_2021-11-21
KAN,2021-11-14,299,Sun,10,10,@,LVR,W 41-14,299,2,KAN_LVR_2021-11-14
NWE,2021-10-24,299,Sun,7,7,,NYJ,W 54-13,299,3,NWE_NYJ_2021-10-24
NYJ,2020-12-27,299,Sun,15,16,,CLE,W 23-16,299,2,NYJ_CLE_2020-12-27
NWE,2020-10-18,299,Sun,5,6,,DEN,L 12-18,299,2,NWE_DEN_2020-10-18
GNB,2019-10-14,299,Mon,6,6,,DET,W 23-22,299,0,GNB_DET_2019-10-14
NOR,2018-09-30,299,Sun,4,4,@,NYG,W 33-18,299,2,NOR_NYG_2018-09-30
PHI,2018-09-06,299,Thu,1,1,,ATL,W 18-12,299,1,PHI_ATL_2018-09-06
NYJ,2017-11-26,299,Sun,11,12,,CAR,L 27-35,299,0,NYJ_CAR_2017-11-26
ARI,2023-01-01,298,Sun,16,17,@,ATL,L 19-20,298,1,ARI_ATL_2023-01-01
TAM,2022-12-05,298,Mon,12,13,,NOR,W 17-16,298,0,TAM_NOR_2022-12-05
LAR,2022-11-13,298,Sun,9,10,,ARI,L 17-27,298,0,LAR_ARI_2022-11-13
NWE,2022-01-09,298,Sun,17,18,@,MIA,L 24-33,298,0,NWE_MIA_2022-01-09
LVR,2021-12-05,298,Sun,12,13,,WAS,L 15-17,298,1,LVR_WAS_2021-12-05
GNB,2021-09-26,298,Sun,3,3,@,SFO,W 30-28,298,2,GNB_SFO_2021-09-26
NWE,2020-11-29,298,Sun,11,12,,ARI,W 20-17,298,1,NWE_ARI_2020-11-29
PHI,2019-11-17,298,Sun,10,11,,NWE,L 10-17,298,0,PHI_NWE_2019-11-17
WAS,2019-09-23,298,Mon,3,3,,CHI,L 15-31,298,1,WAS_CHI_2019-09-23
TAM,2018-12-09,298,Sun,13,14,,NOR,L 14-28,298,2,TAM_NOR_2018-12-09
NYG,2018-09-16,298,Sun,2,2,@,DAL,L 13-20,298,0,NYG_DAL_2018-09-16
OAK,2017-10-01,298,Sun,4,4,@,DEN,L 10-16,298,0,OAK_DEN_2017-10-01
SEA,2022-12-24,297,Sat,15,16,@,KAN,L 10-24,297,0,SEA_KAN_2022-12-24
NYJ,2022-11-20,297,Sun,10,11,@,NWE,L 3-10,297,0,NYJ_NWE_2022-11-20
MIA,2022-11-13,297,Sun,10,10,,CLE,W 39-17,297,1,MIA_CLE_2022-11-13
DEN,2022-10-17,297,Mon,6,6,@,LAC,L 16-19 (OT),297,1,DEN_LAC_2022-10-17
NYJ,2022-10-02,297,Sun,4,4,@,PIT,W 24-20,297,4,NYJ_PIT_2022-10-02
DAL,2022-10-02,297,Sun,4,4,,WAS,W 25-10,297,2,DAL_WAS_2022-10-02
NYG,2021-12-05,297,Sun,12,13,@,MIA,L 9-20,297,0,NYG_MIA_2021-12-05
WAS,2021-11-21,297,Sun,10,11,@,CAR,W 27-21,297,0,WAS_CAR_2021-11-21
HOU,2019-09-29,297,Sun,4,4,,CAR,L 10-16,297,3,HOU_CAR_2019-09-29
CIN,2018-12-16,297,Sun,14,15,,OAK,W 30-16,297,2,CIN_OAK_2018-12-16
TEN,2018-11-05,297,Mon,8,9,@,DAL,W 28-14,297,2,TEN_DAL_2018-11-05
CIN,2018-10-07,297,Sun,5,5,,MIA,W 27-17,297,3,CIN_MIA_2018-10-07
TEN,2017-10-16,297,Mon,6,6,,IND,W 36-22,297,1,TEN_IND_2017-10-16
ARI,2022-10-16,296,Sun,6,6,@,SEA,L 9-19,296,1,ARI_SEA_2022-10-16
BUF,2022-10-02,296,Sun,4,4,@,BAL,W 23-20,296,2,BUF_BAL_2022-10-02
HOU,2021-12-19,296,Sun,14,15,@,JAX,W 30-16,296,0,HOU_JAX_2021-12-19
NYG,2021-09-26,296,Sun,3,3,,ATL,L 14-17,296,1,NYG_ATL_2021-09-26
HOU,2019-11-21,296,Thu,11,12,,IND,W 20-17,296,0,HOU_IND_2019-11-21
ARI,2017-12-31,296,Sun,16,17,@,SEA,W 26-24,296,0,ARI_SEA_2017-12-31
BAL,2017-12-23,296,Sat,15,16,,IND,W 23-16,296,0,BAL_IND_2017-12-23
NYJ,2022-10-09,295,Sun,5,5,,MIA,W 40-17,295,2,NYJ_MIA_2022-10-09
JAX,2021-11-14,295,Sun,9,10,@,IND,L 17-23,295,0,JAX_IND_2021-11-14
SFO,2021-10-24,295,Sun,6,7,,IND,L 18-30,295,2,SFO_IND_2021-10-24
LAR,2020-10-04,295,Sun,4,4,,NYG,W 17-9,295,1,LAR_NYG_2020-10-04
CHI,2020-09-20,295,Sun,2,2,,NYG,W 17-13,295,2,CHI_NYG_2020-09-20
LAC,2020-09-13,295,Sun,1,1,@,CIN,W 16-13,295,2,LAC_CIN_2020-09-13
TAM,2019-12-15,295,Sun,14,15,@,DET,W 38-17,295,3,TAM_DET_2019-12-15
SFO,2019-09-08,295,Sun,1,1,@,TAM,W 31-17,295,4,SFO_TAM_2019-09-08
LAC,2018-12-09,295,Sun,13,14,,CIN,W 26-21,295,0,LAC_CIN_2018-12-09
DAL,2018-09-23,295,Sun,3,3,@,SEA,L 13-24,295,0,DAL_SEA_2018-09-23
LAC,2017-12-24,295,Sun,15,16,@,NYJ,W 14-7,295,3,LAC_NYJ_2017-12-24
MIA,2017-10-26,295,Thu,7,8,@,BAL,L 0-40,295,0,MIA_BAL_2017-10-26
HOU,2017-09-14,295,Thu,2,2,@,CIN,W 13-9,295,1,HOU_CIN_2017-09-14
TAM,2021-10-03,294,Sun,4,4,@,NWE,W 19-17,294,2,TAM_NWE_2021-10-03
IND,2020-11-12,294,Thu,9,10,@,TEN,W 34-17,294,0,IND_TEN_2020-11-12
LAC,2020-10-25,294,Sun,6,7,,JAX,W 39-29,294,1,LAC_JAX_2020-10-25
JAX,2020-09-24,294,Thu,3,3,,MIA,L 13-31,294,0,JAX_MIA_2020-09-24
NYG,2019-11-10,294,Sun,10,10,@,NYJ,L 27-34,294,0,NYG_NYJ_2019-11-10
CAR,2018-12-30,294,Sun,16,17,@,NOR,W 33-14,294,1,CAR_NOR_2018-12-30
OAK,2018-12-16,294,Sun,14,15,@,CIN,L 16-30,294,1,OAK_CIN_2018-12-16
LAC,2018-12-13,294,Thu,14,15,@,KAN,W 29-28,294,0,LAC_KAN_2018-12-13
LAR,2018-12-09,294,Sun,13,14,@,CHI,L 6-15,294,3,LAR_CHI_2018-12-09
GNB,2018-11-11,294,Sun,9,10,,MIA,W 31-12,294,2,GNB_MIA_2018-11-11
GNB,2018-09-09,294,Sun,1,1,,CHI,W 24-23,294,1,GNB_CHI_2018-09-09
NOR,2017-12-17,294,Sun,14,15,,NYJ,W 31-19,294,2,NOR_NYJ_2017-12-17
HOU,2017-11-27,294,Mon,11,12,@,BAL,L 16-23,294,0,HOU_BAL_2017-11-27
NOR,2022-09-25,293,Sun,3,3,@,CAR,L 14-22,293,0,NOR_CAR_2022-09-25
GNB,2020-12-13,293,Sun,13,14,@,DET,W 31-24,293,0,GNB_DET_2020-12-13
PIT,2019-11-14,293,Thu,10,11,@,CLE,L 7-21,293,0,PIT_CLE_2019-11-14
BAL,2018-09-23,293,Sun,3,3,,DEN,W 27-14,293,1,BAL_DEN_2018-09-23
LAC,2018-09-16,293,Sun,2,2,@,BUF,W 31-20,293,2,LAC_BUF_2018-09-16
DAL,2018-09-09,293,Sun,1,1,@,CAR,L 8-16,293,1,DAL_CAR_2018-09-09
ARI,2017-12-24,293,Sun,15,16,,NYG,W 23-0,293,3,ARI_NYG_2017-12-24
DAL,2017-12-17,293,Sun,14,15,@,OAK,W 20-17,293,1,DAL_OAK_2017-12-17
CHI,2017-12-16,293,Sat,14,15,@,DET,L 10-20,293,1,CHI_DET_2017-12-16
CHI,2017-10-22,293,Sun,7,7,,CAR,W 17-3,293,3,CHI_CAR_2017-10-22
NYJ,2022-11-27,292,Sun,11,12,,CHI,W 31-10,292,1,NYJ_CHI_2022-11-27
TEN,2022-10-23,292,Sun,6,7,,IND,W 19-10,292,3,TEN_IND_2022-10-23
CIN,2021-12-19,292,Sun,14,15,@,DEN,W 15-10,292,1,CIN_DEN_2021-12-19
LAR,2020-12-27,292,Sun,15,16,@,SEA,L 9-20,292,0,LAR_SEA_2020-12-27
DEN,2020-11-29,292,Sun,11,12,,NOR,L 3-31,292,1,DEN_NOR_2020-11-29
LAC,2020-11-22,292,Sun,10,11,,NYJ,W 34-28,292,1,LAC_NYJ_2020-11-22
PIT,2020-10-25,292,Sun,6,7,@,TEN,W 27-24,292,0,PIT_TEN_2020-10-25
CHI,2019-12-15,292,Sun,14,15,@,GNB,L 13-21,292,0,CHI_GNB_2019-12-15
IND,2019-12-01,292,Sun,12,13,,TEN,L 17-31,292,2,IND_TEN_2019-12-01
TEN,2019-09-19,292,Thu,3,3,@,JAX,L 7-20,292,0,TEN_JAX_2019-09-19
KAN,2018-12-30,292,Sun,16,17,,OAK,W 35-3,292,4,KAN_OAK_2018-12-30
TEN,2018-12-22,292,Sat,15,16,,WAS,W 25-16,292,2,TEN_WAS_2018-12-22
IND,2018-12-16,292,Sun,14,15,,DAL,W 23-0,292,1,IND_DAL_2018-12-16
HOU,2018-10-07,292,Sun,5,5,,DAL,W 19-16 (OT),292,2,HOU_DAL_2018-10-07
BUF,2018-09-23,292,Sun,3,3,@,MIN,W 27-6,292,3,BUF_MIN_2018-09-23
MIN,2018-09-23,292,Sun,3,3,,BUF,L 6-27,292,0,MIN_BUF_2018-09-23
HOU,2017-11-19,292,Sun,10,11,,ARI,W 31-21,292,2,HOU_ARI_2017-11-19
DET,2023-01-08,291,Sun,17,18,@,GNB,W 20-16,291,2,DET_GNB_2023-01-08
CAR,2022-11-10,291,Thu,10,10,,ATL,W 25-15,291,1,CAR_ATL_2022-11-10
BAL,2022-10-09,291,Sun,5,5,,CIN,W 19-17,291,1,BAL_CIN_2022-10-09
SFO,2020-12-20,291,Sun,14,15,@,DAL,L 33-41,291,0,SFO_DAL_2020-12-20
CAR,2020-12-19,291,Sat,14,15,@,GNB,L 16-24,291,0,CAR_GNB_2020-12-19
LAC,2020-12-06,291,Sun,12,13,,NWE,L 0-45,291,0,LAC_NWE_2020-12-06
PIT,2020-09-14,291,Mon,1,1,@,NYG,W 26-16,291,2,PIT_NYG_2020-09-14
CIN,2019-12-15,291,Sun,14,15,,NWE,L 13-34,291,0,CIN_NWE_2019-12-15
JAX,2019-10-20,291,Sun,7,7,@,CIN,W 27-17,291,4,JAX_CIN_2019-10-20
ARI,2018-12-30,291,Sun,16,17,@,SEA,L 24-27,291,1,ARI_SEA_2018-12-30
WAS,2018-12-22,291,Sat,15,16,@,TEN,L 16-25,291,0,WAS_TEN_2018-12-22
LAC,2017-12-03,291,Sun,12,13,,CLE,W 19-10,291,2,LAC_CLE_2017-12-03
CHI,2017-10-15,291,Sun,6,6,@,BAL,W 27-24 (OT),291,3,CHI_BAL_2017-10-15
PIT,2022-11-28,290,Mon,11,12,@,IND,W 24-17,290,2,PIT_IND_2022-11-28
KAN,2021-12-12,290,Sun,13,14,,LVR,W 48-9,290,5,KAN_LVR_2021-12-12
BAL,2021-12-12,290,Sun,13,14,@,CLE,L 22-24,290,1,BAL_CLE_2021-12-12
DEN,2021-11-07,290,Sun,9,9,@,DAL,W 30-16,290,2,DEN_DAL_2021-11-07
ARI,2021-10-17,290,Sun,6,6,@,CLE,W 37-14,290,3,ARI_CLE_2021-10-17
BUF,2021-09-26,290,Sun,3,3,,WAS,W 43-21,290,3,BUF_WAS_2021-09-26
SEA,2020-12-06,290,Sun,12,13,,NYG,L 12-17,290,1,SEA_NYG_2020-12-06
SFO,2019-12-15,290,Sun,14,15,,ATL,L 22-29,290,1,SFO_ATL_2019-12-15
DEN,2018-11-04,290,Sun,9,9,,HOU,L 17-19,290,0,DEN_HOU_2018-11-04
JAX,2017-12-03,290,Sun,12,13,,IND,W 30-10,290,2,JAX_IND_2017-12-03
SEA,2017-11-09,290,Thu,9,10,@,ARI,W 22-16,290,1,SEA_ARI_2017-11-09
DAL,2017-10-22,290,Sun,6,7,@,SFO,W 40-10,290,3,DAL_SFO_2017-10-22
CLE,2017-09-10,290,Sun,1,1,,PIT,L 18-21,290,1,CLE_PIT_2017-09-10
SFO,2022-10-16,289,Sun,6,6,@,ATL,L 14-28,289,0,SFO_ATL_2022-10-16
LAR,2020-12-20,289,Sun,14,15,,NYJ,L 20-23,289,0,LAR_NYJ_2020-12-20
CHI,2020-10-04,289,Sun,4,4,,IND,L 11-19,289,0,CHI_IND_2020-10-04
DAL,2019-12-15,289,Sun,14,15,,LAR,W 44-21,289,1,DAL_LAR_2019-12-15
CAR,2019-09-12,289,Thu,2,2,,TAM,L 14-20,289,0,CAR_TAM_2019-09-12
NWE,2018-12-23,289,Sun,15,16,,BUF,W 24-12,289,3,NWE_BUF_2018-12-23
LAC,2018-10-07,289,Sun,5,5,,OAK,W 26-10,289,2,LAC_OAK_2018-10-07
NYG,2017-12-24,289,Sun,15,16,@,ARI,L 0-23,289,2,NYG_ARI_2017-12-24
MIN,2017-11-23,289,Thu,11,12,@,DET,W 30-23,289,2,MIN_DET_2017-11-23
ATL,2017-10-15,289,Sun,5,6,,MIA,L 17-20,289,1,ATL_MIA_2017-10-15
WAS,2022-12-18,288,Sun,14,15,,NYG,L 12-20,288,0,WAS_NYG_2022-12-18
ATL,2022-11-20,288,Sun,11,11,,CHI,W 27-24,288,1,ATL_CHI_2022-11-20
NYJ,2022-10-30,288,Sun,8,8,,NWE,L 17-22,288,1,NYJ_NWE_2022-10-30
BUF,2021-12-26,288,Sun,15,16,@,NWE,W 33-21,288,2,BUF_NWE_2021-12-26
LVR,2021-11-21,288,Sun,10,11,,CIN,L 13-32,288,1,LVR_CIN_2021-11-21
MIN,2021-10-10,288,Sun,5,5,,DET,W 19-17,288,2,MIN_DET_2021-10-10
CLE,2020-12-20,288,Sun,14,15,@,NYG,W 20-6,288,0,CLE_NYG_2020-12-20
DEN,2020-10-18,288,Sun,5,6,@,NWE,W 18-12,288,3,DEN_NWE_2020-10-18
ATL,2019-12-22,288,Sun,15,16,,JAX,W 24-12,288,1,ATL_JAX_2019-12-22
TEN,2019-09-15,288,Sun,2,2,,IND,L 17-19,288,2,TEN_IND_2019-09-15
NYG,2018-12-09,288,Sun,13,14,@,WAS,W 40-16,288,3,NYG_WAS_2018-12-09
CIN,2018-12-09,288,Sun,13,14,@,LAC,L 21-26,288,0,CIN_LAC_2018-12-09
CAR,2018-10-14,288,Sun,5,6,@,WAS,L 17-23,288,0,CAR_WAS_2018-10-14
IND,2017-11-05,288,Sun,9,9,@,HOU,W 20-14,288,1,IND_HOU_2017-11-05
PIT,2017-10-01,288,Sun,4,4,@,BAL,W 26-9,288,3,PIT_BAL_2017-10-01
NOR,2017-09-24,288,Sun,3,3,@,CAR,W 34-13,288,3,NOR_CAR_2017-09-24
CAR,2022-12-11,287,Sun,13,14,@,SEA,W 30-24,287,2,CAR_SEA_2022-12-11
NYJ,2022-12-04,287,Sun,12,13,@,MIN,L 22-27,287,0,NYJ_MIN_2022-12-04
PHI,2019-09-22,287,Sun,3,3,,DET,L 24-27,287,0,PHI_DET_2019-09-22
ARI,2017-11-09,287,Thu,9,10,,SEA,L 16-22,287,0,ARI_SEA_2017-11-09
SFO,2017-09-10,287,Sun,1,1,,CAR,L 3-23,287,2,SFO_CAR_2017-09-10
DEN,2020-10-25,286,Sun,6,7,,KAN,L 16-43,286,1,DEN_KAN_2020-10-25
IND,2019-12-22,286,Sun,15,16,,CAR,W 38-6,286,3,IND_CAR_2019-12-22
ATL,2019-09-15,286,Sun,2,2,,PHI,W 24-20,286,3,ATL_PHI_2019-09-15
NYJ,2018-12-15,286,Sat,14,15,,HOU,L 22-29,286,0,NYJ_HOU_2018-12-15
TAM,2018-11-11,286,Sun,9,10,,WAS,L 3-16,286,0,TAM_WAS_2018-11-11
WAS,2017-12-17,286,Sun,14,15,,ARI,W 20-15,286,2,WAS_ARI_2017-12-17
CIN,2022-12-24,285,Sat,15,16,@,NWE,W 22-18,285,1,CIN_NWE_2022-12-24
TEN,2022-12-24,285,Sat,15,16,,HOU,L 14-19,285,1,TEN_HOU_2022-12-24
DEN,2022-12-04,285,Sun,12,13,@,BAL,L 9-10,285,2,DEN_BAL_2022-12-04
GNB,2022-09-25,285,Sun,3,3,@,TAM,W 14-12,285,2,GNB_TAM_2022-09-25
BAL,2021-09-26,285,Sun,3,3,@,DET,W 19-17,285,0,BAL_DET_2021-09-26
KAN,2020-12-20,285,Sun,14,15,@,NOR,W 32-29,285,1,KAN_NOR_2020-12-20
ARI,2020-10-11,285,Sun,5,5,@,NYJ,W 30-10,285,0,ARI_NYJ_2020-10-11
DAL,2017-10-29,285,Sun,7,8,@,WAS,W 33-19,285,3,DAL_WAS_2017-10-29
PHI,2023-01-08,284,Sun,17,18,,NYG,W 22-16,284,0,PHI_NYG_2023-01-08
LAC,2022-12-18,284,Sun,14,15,,TEN,W 17-14,284,1,LAC_TEN_2022-12-18
PHI,2022-11-20,284,Sun,10,11,@,IND,W 17-16,284,1,PHI_IND_2022-11-20
OAK,2019-12-22,284,Sun,15,16,@,LAC,W 24-17,284,0,OAK_LAC_2019-12-22
CLE,2019-11-24,284,Sun,11,12,,MIA,W 41-24,284,2,CLE_MIA_2019-11-24
NOR,2018-11-11,284,Sun,9,10,@,CIN,W 51-14,284,2,NOR_CIN_2018-11-11
TEN,2018-11-11,284,Sun,9,10,,NWE,W 34-10,284,0,TEN_NWE_2018-11-11
BAL,2018-09-30,284,Sun,4,4,@,PIT,W 26-14,284,2,BAL_PIT_2018-09-30
