Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
JAX,2020-12-06,30,Sun,12,13,@,MIN,L 24-27 (OT),30,10,17,3,16,7,43.8,0,0,,2020,2020_13_JAX_MIN
ARI,2020-12-06,30,Sun,12,13,,LAR,L 28-38,30,8,19,3,15,9,60.0,3,1,33.3,2020,2020_13_ARI_LAR
CAR,2020-11-15,30,Sun,10,10,,TAM,L 23-46,30,9,18,3,16,10,62.5,1,1,100.0,2020,2020_10_CAR_TAM
NYJ,2020-11-09,30,Mon,9,9,,NWE,L 27-30,30,14,13,3,14,8,57.1,2,1,50.0,2020,2020_09_NYJ_NWE
MIN,2020-11-08,30,Sun,8,9,,DET,W 34-20,30,9,19,2,12,6,50.0,0,0,,2020,2020_09_MIN_DET
KAN,2020-11-08,30,Sun,9,9,,CAR,W 33-31,30,7,18,5,16,7,43.8,3,3,100.0,2020,2020_09_KAN_CAR
ARI,2020-10-04,30,Sun,4,4,@,CAR,L 21-31,30,11,17,2,11,7,63.6,1,1,100.0,2020,2020_04_ARI_CAR
PHI,2020-09-20,30,Sun,2,2,,LAR,L 19-37,30,11,17,2,12,7,58.3,1,1,100.0,2020,2020_02_PHI_LAR
TEN,2020-09-20,30,Sun,2,2,,JAX,W 33-30,30,9,20,1,14,10,71.4,1,1,100.0,2020,2020_02_TEN_JAX
CLE,2020-09-17,30,Thu,2,2,,CIN,W 35-30,30,7,20,3,18,8,44.4,5,5,100.0,2020,2020_02_CLE_CIN
MIA,2019-11-24,30,Sun,11,12,@,CLE,L 24-41,30,9,15,6,8,4,50.0,0,0,,2019,2019_12_MIA_CLE
SEA,2019-10-27,30,Sun,8,8,@,ATL,W 27-20,30,4,24,2,9,3,33.3,1,1,100.0,2019,2019_08_SEA_ATL
KAN,2018-12-13,30,Thu,14,15,,LAC,L 28-29,30,7,18,5,10,6,60.0,1,1,100.0,2018,2018_15_KAN_LAC
BAL,2018-12-09,30,Sun,13,14,@,KAN,L 24-27 (OT),30,8,18,4,16,6,37.5,3,3,100.0,2018,2018_14_BAL_KAN
ARI,2018-11-25,30,Sun,11,12,@,LAC,L 10-45,30,11,17,2,7,3,42.9,1,1,100.0,2018,2018_12_ARI_LAC
ATL,2018-10-14,30,Sun,6,6,,TAM,W 34-29,30,5,23,2,8,5,62.5,0,0,,2018,2018_06_ATL_TAM
DET,2018-10-07,30,Sun,5,5,,GNB,W 31-23,30,6,23,1,10,3,30.0,2,2,100.0,2018,2018_05_DET_GNB
SEA,2018-10-07,30,Sun,5,5,,LAR,L 31-33,30,9,17,4,9,3,33.3,1,1,100.0,2018,2018_05_SEA_LAR
ATL,2018-09-30,30,Sun,4,4,,CIN,L 36-37,30,6,20,4,12,7,58.3,2,2,100.0,2018,2018_04_ATL_CIN
IND,2018-09-30,30,Sun,4,4,,HOU,L 34-37 (OT),30,6,23,1,16,8,50.0,1,1,100.0,2018,2018_04_IND_HOU
ARI,2018-09-09,30,Sun,1,1,,WAS,L 6-24,30,10,13,7,13,6,46.2,1,1,100.0,2018,2018_01_ARI_WAS
KAN,2017-12-03,30,Sun,12,13,@,NYJ,L 31-38,30,10,16,4,20,13,65.0,1,1,100.0,2017,2017_13_KAN_NYJ
MIA,2017-11-13,30,Mon,9,10,@,CAR,L 21-45,30,12,16,2,14,11,78.6,0,0,,2017,2017_10_MIA_CAR
SFO,2023-01-01,29,Sun,16,17,@,LVR,W 37-34 (OT),29,10,15,4,10,4,40.0,1,0,0.0,2022,2022_17_SFO_LVR
MIA,2022-12-17,29,Sat,14,15,@,BUF,L 29-32,29,9,16,4,14,8,57.1,0,0,,2022,2022_15_MIA_BUF
GNB,2022-11-27,29,Sun,12,12,@,PHI,L 33-40,29,21,6,2,15,8,53.3,3,2,66.7,2022,2022_12_GNB_PHI
LAR,2022-11-27,29,Sun,11,12,@,KAN,L 10-26,29,6,20,3,11,5,45.5,0,0,,2022,2022_12_LAR_KAN
CLE,2022-11-13,29,Sun,9,10,@,MIA,L 17-39,29,11,17,1,11,6,54.5,2,1,50.0,2022,2022_10_CLE_MIA
MIN,2022-11-13,29,Sun,9,10,@,BUF,W 33-30 (OT),29,9,17,3,13,7,53.8,1,0,0.0,2022,2022_10_MIN_BUF
TEN,2022-11-06,29,Sun,8,9,@,KAN,L 17-20 (OT),29,5,23,1,19,8,42.1,2,2,100.0,2022,2022_09_TEN_KAN
ATL,2022-10-23,29,Sun,7,7,@,CIN,L 17-35,29,5,22,2,11,7,63.6,1,0,0.0,2022,2022_07_ATL_CIN
JAX,2022-10-16,29,Sun,6,6,@,IND,L 27-34,29,4,22,3,15,10,66.7,0,0,,2022,2022_06_JAX_IND
LVR,2022-10-10,29,Mon,5,5,@,KAN,L 29-30,29,7,18,4,12,7,58.3,0,0,,2022,2022_05_LVR_KAN
CHI,2022-10-09,29,Sun,5,5,@,MIN,L 22-29,29,10,18,1,15,12,80.0,0,0,,2022,2022_05_CHI_MIN
NYJ,2022-09-18,29,Sun,2,2,@,CLE,W 31-30,29,12,15,2,12,8,66.7,0,0,,2022,2022_02_NYJ_CLE
