Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,Season,game_id
MIA,2019-09-08,643,Sun,1,1,,BAL,L 10-59,643,0,2019,2019_01_MIA_BAL
HOU,2020-10-18,607,Sun,6,6,@,TEN,L 36-42 (OT),607,2,2020,2020_06_HOU_TEN
ATL,2019-10-06,592,Sun,5,5,@,HOU,L 32-53,592,1,2019,2019_05_ATL_HOU
DET,2020-12-26,588,Sat,15,16,,TAM,L 7-47,588,0,2020,2020_16_DET_TAM
MIN,2020-12-25,583,Fri,15,16,@,NOR,L 33-52,583,2,2020,2020_16_MIN_NOR
SEA,2022-11-27,576,Sun,11,12,,LVR,L 34-40 (OT),576,2,2022,2022_12_SEA_LVR
PHI,2018-12-09,576,Sun,13,14,@,DAL,L 23-29 (OT),576,3,2018,2018_14_PHI_DAL
CIN,2018-10-28,576,Sun,8,8,,TAM,W 37-34,576,4,2018,2018_08_CIN_TAM
BAL,2021-12-26,575,Sun,15,16,@,CIN,L 21-41,575,0,2021,2021_16_BAL_CIN
ARI,2020-10-25,572,Sun,7,7,,SEA,W 37-34 (OT),572,3,2020,2020_07_ARI_SEA
CAR,2021-10-17,571,Sun,6,6,,MIN,L 28-34 (OT),571,1,2021,2021_06_CAR_MIN
CIN,2019-09-15,571,Sun,2,2,,SFO,L 17-41,571,1,2019,2019_02_CIN_SFO
DET,2022-12-24,570,Sat,15,16,@,CAR,L 23-37,570,0,2022,2022_16_DET_CAR
ATL,2020-09-20,570,Sun,2,2,@,DAL,L 39-40,570,3,2020,2020_02_ATL_DAL
NWE,2021-10-17,567,Sun,6,6,,DAL,L 29-35 (OT),567,2,2021,2021_06_NWE_DAL
CLE,2020-10-04,566,Sun,4,4,@,DAL,W 49-38,566,3,2020,2020_04_CLE_DAL
CLE,2018-09-30,565,Sun,4,4,@,OAK,L 42-45 (OT),565,2,2018,2018_04_CLE_OAK
GNB,2019-10-06,563,Sun,5,5,@,DAL,W 34-24,563,3,2019,2019_05_GNB_DAL
MIA,2021-10-10,558,Sun,5,5,@,TAM,L 17-45,558,0,2021,2021_05_MIA_TAM
MIN,2018-09-27,556,Thu,4,4,@,LAR,L 31-38,556,0,2018,2018_04_MIN_LAR
DET,2022-10-02,555,Sun,4,4,,SEA,L 45-48,555,1,2022,2022_04_DET_SEA
NOR,2017-09-17,555,Sun,2,2,,NWE,L 20-36,555,0,2017,2017_02_NOR_NWE
PIT,2022-10-09,552,Sun,5,5,@,BUF,L 3-38,552,2,2022,2022_05_PIT_BUF
WAS,2019-12-22,552,Sun,15,16,,NYG,L 35-41 (OT),552,0,2019,2019_16_WAS_NYG
OAK,2019-12-08,552,Sun,13,14,,TEN,L 21-42,552,1,2019,2019_14_OAK_TEN
NYJ,2021-10-24,551,Sun,6,7,@,NWE,L 13-54,551,0,2021,2021_07_NYJ_NWE
CIN,2018-10-21,551,Sun,7,7,@,KAN,L 10-45,551,1,2018,2018_07_CIN_KAN
ARI,2019-12-01,549,Sun,12,13,,LAR,L 7-34,549,0,2019,2019_13_ARI_LAR
MIA,2017-11-13,548,Mon,9,10,@,CAR,L 21-45,548,0,2017,2017_10_MIA_CAR
BAL,2022-09-18,547,Sun,2,2,,MIA,L 38-42,547,2,2022,2022_02_BAL_MIA
LAR,2018-11-19,546,Mon,11,11,,KAN,W 54-51,546,5,2018,2018_11_LAR_KAN
PHI,2018-11-18,546,Sun,10,11,@,NOR,L 7-48,546,0,2018,2018_11_PHI_NOR
BAL,2017-12-10,545,Sun,13,14,@,PIT,L 38-39,545,0,2017,2017_14_BAL_PIT
CAR,2020-11-15,544,Sun,10,10,,TAM,L 23-46,544,1,2020,2020_10_CAR_TAM
TAM,2020-11-29,543,Sun,12,12,,KAN,L 24-27,543,1,2020,2020_12_TAM_KAN
IND,2019-12-08,542,Sun,13,14,@,TAM,L 35-38,542,4,2019,2019_14_IND_TAM
CHI,2018-10-14,541,Sun,5,6,@,MIA,L 28-31 (OT),541,3,2018,2018_06_CHI_MIA
KAN,2018-09-09,541,Sun,1,1,@,LAC,W 38-28,541,2,2018,2018_01_KAN_LAC
HOU,2020-12-27,540,Sun,15,16,,CIN,L 31-37,540,0,2020,2020_16_HOU_CIN
NYJ,2018-12-23,540,Sun,15,16,,GNB,L 38-44 (OT),540,1,2018,2018_16_NYJ_GNB
ATL,2022-10-23,537,Sun,7,7,@,CIN,L 17-35,537,0,2022,2022_07_ATL_CIN
NWE,2017-09-07,537,Thu,1,1,,KAN,L 27-42,537,1,2017,2017_01_NWE_KAN
WAS,2017-11-19,535,Sun,10,11,@,NOR,L 31-34 (OT),535,1,2017,2017_11_WAS_NOR
DEN,2020-12-19,534,Sat,14,15,,BUF,L 19-48,534,1,2020,2020_15_DEN_BUF
ATL,2018-09-23,534,Sun,3,3,,NOR,L 37-43 (OT),534,0,2018,2018_03_ATL_NOR
PIT,2021-11-21,533,Sun,10,11,@,LAC,L 37-41,533,1,2021,2021_11_PIT_LAC
NYJ,2021-11-04,532,Thu,8,9,@,IND,L 30-45,532,0,2021,2021_09_NYJ_IND
SEA,2021-09-19,532,Sun,2,2,,TEN,L 30-33 (OT),532,1,2021,2021_02_SEA_TEN
LAC,2021-10-10,531,Sun,5,5,,CLE,W 47-42,531,0,2021,2021_05_LAC_CLE
TEN,2019-11-10,530,Sun,10,10,,KAN,W 35-32,530,1,2019,2019_10_TEN_KAN
BAL,2019-09-29,530,Sun,4,4,,CLE,L 25-40,530,1,2019,2019_04_BAL_CLE
SFO,2022-10-23,529,Sun,7,7,,KAN,L 23-44,529,2,2022,2022_07_SFO_KAN
NOR,2018-09-09,529,Sun,1,1,,TAM,L 40-48,529,0,2018,2018_01_NOR_TAM
DEN,2018-11-25,527,Sun,11,12,,PIT,W 24-17,527,4,2018,2018_12_DEN_PIT
PHI,2020-12-20,526,Sun,14,15,@,ARI,L 26-33,526,3,2020,2020_15_PHI_ARI
CIN,2021-01-03,525,Sun,16,17,,BAL,L 3-38,525,1,2020,2020_17_CIN_BAL
JAX,2019-12-08,525,Sun,13,14,,LAC,L 10-45,525,0,2019,2019_14_JAX_LAC
IND,2021-10-11,523,Mon,5,5,@,BAL,L 25-31 (OT),523,1,2021,2021_05_IND_BAL
MIA,2020-09-20,523,Sun,2,2,,BUF,L 28-31,523,1,2020,2020_02_MIA_BUF
SEA,2020-09-27,522,Sun,3,3,,DAL,W 38-31,522,3,2020,2020_03_SEA_DAL
MIN,2020-09-13,522,Sun,1,1,,GNB,L 34-43,522,0,2020,2020_01_MIN_GNB
SFO,2018-10-15,521,Mon,6,6,@,GNB,L 30-33,521,0,2018,2018_06_SFO_GNB
DET,2018-10-07,521,Sun,5,5,,GNB,W 31-23,521,3,2018,2018_05_DET_GNB
LAC,2018-09-23,521,Sun,3,3,@,LAR,L 23-35,521,2,2018,2018_03_LAC_LAR
SEA,2022-10-02,520,Sun,4,4,@,DET,W 48-45,520,2,2022,2022_04_SEA_DET
BAL,2021-10-24,520,Sun,7,7,,CIN,L 17-41,520,1,2021,2021_07_BAL_CIN
WAS,2021-12-21,519,Tue,14,15,@,PHI,L 17-27,519,2,2021,2021_15_WAS_PHI
SEA,2020-10-25,519,Sun,6,7,@,ARI,L 34-37 (OT),519,2,2020,2020_07_SEA_ARI
HOU,2018-12-23,519,Sun,15,16,@,PHI,L 30-32,519,3,2018,2018_16_HOU_PHI
IND,2022-12-17,518,Sat,14,15,@,MIN,L 36-39 (OT),518,3,2022,2022_15_IND_MIN
JAX,2019-12-22,518,Sun,15,16,@,ATL,L 12-24,518,2,2019,2019_16_JAX_ATL
TAM,2019-09-29,518,Sun,4,4,@,LAR,W 55-40,518,4,2019,2019_04_TAM_LAR
IND,2017-10-22,518,Sun,7,7,,JAX,L 0-27,518,2,2017,2017_07_IND_JAX
HOU,2022-09-11,517,Sun,1,1,,IND,T 20-20 (OT),517,2,2022,2022_01_HOU_IND
BAL,2020-09-28,517,Mon,3,3,,KAN,L 20-34,517,1,2020,2020_03_BAL_KAN
WAS,2019-12-29,517,Sun,16,17,@,DAL,L 16-47,517,1,2019,2019_17_WAS_DAL
LVR,2021-11-14,516,Sun,9,10,,KAN,L 14-41,516,1,2021,2021_10_LVR_KAN
NOR,2019-12-08,516,Sun,13,14,,SFO,L 46-48,516,1,2019,2019_14_NOR_SFO
TAM,2017-11-26,516,Sun,11,12,@,ATL,L 20-34,516,1,2017,2017_12_TAM_ATL
NYG,2021-10-10,515,Sun,5,5,@,DAL,L 20-44,515,2,2021,2021_05_NYG_DAL
DAL,2017-11-23,515,Thu,11,12,,LAC,L 6-28,515,0,2017,2017_12_DAL_LAC
CIN,2019-10-06,514,Sun,5,5,,ARI,L 23-26,514,0,2019,2019_05_CIN_ARI
NOR,2019-09-22,514,Sun,3,3,@,SEA,W 33-27,514,1,2019,2019_03_NOR_SEA
BAL,2021-10-11,513,Mon,5,5,,IND,W 31-25 (OT),513,1,2021,2021_05_BAL_IND
PHI,2020-12-27,513,Sun,15,16,@,DAL,L 17-37,513,1,2020,2020_16_PHI_DAL
DEN,2018-10-07,512,Sun,5,5,@,NYJ,L 16-34,512,2,2018,2018_05_DEN_NYJ
CIN,2021-10-31,511,Sun,8,8,@,NYJ,L 31-34,511,3,2021,2021_08_CIN_NYJ
ARI,2019-10-27,510,Sun,8,8,@,NOR,L 9-31,510,1,2019,2019_08_ARI_NOR
SEA,2019-10-27,510,Sun,8,8,@,ATL,W 27-20,510,3,2019,2019_08_SEA_ATL
HOU,2019-09-09,510,Mon,1,1,@,NOR,L 28-30,510,1,2019,2019_01_HOU_NOR
NYG,2018-11-18,510,Sun,10,11,,TAM,W 38-35,510,4,2018,2018_11_NYG_TAM
ATL,2018-10-14,510,Sun,6,6,,TAM,W 34-29,510,2,2018,2018_06_ATL_TAM
DAL,2021-11-25,509,Thu,11,12,,LVR,L 33-36 (OT),509,0,2021,2021_12_DAL_LVR
DET,2019-11-17,509,Sun,10,11,,DAL,L 27-35,509,1,2019,2019_11_DET_DAL
CIN,2018-11-11,509,Sun,9,10,,NOR,L 14-51,509,0,2018,2018_10_CIN_NOR
SEA,2017-10-29,509,Sun,7,8,,HOU,W 41-38,509,3,2017,2017_08_SEA_HOU
DET,2021-01-03,508,Sun,16,17,,MIN,L 35-37,508,0,2020,2020_17_DET_MIN
DAL,2020-10-04,508,Sun,4,4,,CLE,L 38-49,508,0,2020,2020_04_DAL_CLE
CAR,2019-10-06,507,Sun,5,5,,JAX,W 34-27,507,3,2019,2019_05_CAR_JAX
SEA,2020-09-13,506,Sun,1,1,@,ATL,W 38-25,506,2,2020,2020_01_SEA_ATL
JAX,2020-10-04,505,Sun,4,4,@,CIN,L 25-33,505,1,2020,2020_04_JAX_CIN
KAN,2017-10-19,505,Thu,7,7,@,OAK,L 30-31,505,0,2017,2017_07_KAN_OAK
CHI,2023-01-01,504,Sun,16,17,@,DET,L 10-41,504,0,2022,2022_17_CHI_DET
DET,2019-10-20,504,Sun,6,7,,MIN,L 30-42,504,0,2019,2019_07_DET_MIN
PHI,2017-12-17,504,Sun,14,15,@,NYG,W 34-29,504,1,2017,2017_15_PHI_NYG
DAL,2022-12-18,503,Sun,14,15,@,JAX,L 34-40 (OT),503,3,2022,2022_15_DAL_JAX
BAL,2019-09-22,503,Sun,3,3,@,KAN,L 28-33,503,0,2019,2019_03_BAL_KAN
NYJ,2018-09-30,503,Sun,4,4,@,JAX,L 12-31,503,3,2018,2018_04_NYJ_JAX
HOU,2022-12-18,502,Sun,14,15,,KAN,L 24-30 (OT),502,2,2022,2022_15_HOU_KAN
CIN,2019-12-22,502,Sun,15,16,@,MIA,L 35-38 (OT),502,1,2019,2019_16_CIN_MIA
KAN,2018-10-07,502,Sun,5,5,,JAX,W 30-14,502,5,2018,2018_05_KAN_JAX
WAS,2018-11-11,501,Sun,9,10,@,TAM,W 16-3,501,4,2018,2018_10_WAS_TAM
SFO,2017-10-22,501,Sun,7,7,,DAL,L 10-40,501,0,2017,2017_07_SFO_DAL
SFO,2023-01-01,500,Sun,16,17,@,LVR,W 37-34 (OT),500,2,2022,2022_17_SFO_LVR
GNB,2022-11-27,500,Sun,12,12,@,PHI,L 33-40,500,1,2022,2022_12_GNB_PHI
MIN,2021-11-07,500,Sun,8,9,@,BAL,L 31-34 (OT),500,2,2021,2021_09_MIN_BAL
KAN,2018-10-14,500,Sun,6,6,@,NWE,L 40-43,500,1,2018,2018_06_KAN_NWE
TEN,2022-11-06,499,Sun,8,9,@,KAN,L 17-20 (OT),499,1,2022,2022_09_TEN_KAN
WAS,2021-10-17,499,Sun,6,6,,KAN,L 13-31,499,3,2021,2021_06_WAS_KAN
NYG,2019-09-22,499,Sun,3,3,@,TAM,W 32-31,499,1,2019,2019_03_NYG_TAM
CLE,2018-11-04,499,Sun,9,9,,KAN,L 21-37,499,1,2018,2018_09_CLE_KAN
NYJ,2018-11-25,498,Sun,11,12,,NWE,L 13-27,498,0,2018,2018_12_NYJ_NWE
MIA,2022-09-25,497,Sun,3,3,,BUF,W 21-19,497,1,2022,2022_03_MIA_BUF
DET,2022-01-02,497,Sun,16,17,@,SEA,L 29-51,497,0,2021,2021_17_DET_SEA
WAS,2021-12-26,497,Sun,15,16,@,DAL,L 14-56,497,0,2021,2021_16_WAS_DAL
MIA,2021-09-26,497,Sun,3,3,@,LVR,L 28-31 (OT),497,1,2021,2021_03_MIA_LVR
CIN,2019-10-13,497,Sun,6,6,@,BAL,L 17-23,497,1,2019,2019_06_CIN_BAL
LAC,2021-12-16,496,Thu,14,15,,KAN,L 28-34 (OT),496,2,2021,2021_15_LAC_KAN
NYJ,2020-11-01,496,Sun,8,8,@,KAN,L 9-35,496,0,2020,2020_08_NYJ_KAN
NYJ,2020-10-11,496,Sun,5,5,,ARI,L 10-30,496,1,2020,2020_05_NYJ_ARI
DET,2019-12-15,495,Sun,14,15,,TAM,L 17-38,495,1,2019,2019_15_DET_TAM
CIN,2018-09-30,495,Sun,4,4,@,ATL,W 37-36,495,0,2018,2018_04_CIN_ATL
OAK,2017-12-31,495,Sun,16,17,@,LAC,L 10-30,495,0,2017,2017_17_OAK_LAC
ARI,2022-10-20,494,Thu,7,7,,NOR,W 42-34,494,3,2022,2022_07_ARI_NOR
NYG,2019-09-08,494,Sun,1,1,@,DAL,L 17-35,494,0,2019,2019_01_NYG_DAL
TAM,2017-09-24,494,Sun,2,3,@,MIN,L 17-34,494,0,2017,2017_03_TAM_MIN
CLE,2021-10-10,493,Sun,5,5,@,LAC,L 42-47,493,1,2021,2021_05_CLE_LAC
BAL,2020-12-14,493,Mon,13,14,@,CLE,W 47-42,493,1,2020,2020_14_BAL_CLE
CIN,2018-12-23,493,Sun,15,16,@,CLE,L 18-26,493,0,2018,2018_16_CIN_CLE
HOU,2021-01-03,492,Sun,16,17,,TEN,L 38-41,492,1,2020,2020_17_HOU_TEN
TAM,2019-11-03,492,Sun,8,9,@,SEA,L 34-40 (OT),492,1,2019,2019_09_TAM_SEA
CLE,2022-11-13,491,Sun,9,10,@,MIA,L 17-39,491,0,2022,2022_10_CLE_MIA
BAL,2021-09-13,491,Mon,1,1,@,LVR,L 27-33 (OT),491,1,2021,2021_01_BAL_LVR
HOU,2019-11-17,491,Sun,10,11,@,BAL,L 7-41,491,0,2019,2019_11_HOU_BAL
PHI,2019-09-26,491,Thu,4,4,@,GNB,W 34-27,491,2,2019,2019_04_PHI_GNB
JAX,2019-09-08,491,Sun,1,1,,KAN,L 26-40,491,0,2019,2019_01_JAX_KAN
WAS,2018-11-04,491,Sun,8,9,,ATL,L 14-38,491,1,2018,2018_09_WAS_ATL
KAN,2020-10-11,490,Sun,5,5,,LVR,L 32-40,490,1,2020,2020_05_KAN_LVR
NYG,2019-10-06,490,Sun,5,5,,MIN,L 10-28,490,1,2019,2019_05_NYG_MIN
NYJ,2021-11-14,489,Sun,9,10,,BUF,L 17-45,489,2,2021,2021_10_NYJ_BUF
TAM,2018-12-30,489,Sun,16,17,,ATL,L 32-34,489,1,2018,2018_17_TAM_ATL
ARI,2022-09-11,488,Sun,1,1,,KAN,L 21-44,488,1,2022,2022_01_ARI_KAN
BUF,2021-12-12,488,Sun,13,14,@,TAM,L 27-33 (OT),488,0,2021,2021_14_BUF_TAM
CIN,2020-12-27,488,Sun,15,16,@,HOU,W 37-31,488,1,2020,2020_16_CIN_HOU
DET,2020-09-20,488,Sun,2,2,@,GNB,L 21-42,488,0,2020,2020_02_DET_GNB
WAS,2017-12-10,488,Sun,13,14,@,LAC,L 13-30,488,1,2017,2017_14_WAS_LAC
KAN,2017-12-03,488,Sun,12,13,@,NYJ,L 31-38,488,0,2017,2017_13_KAN_NYJ
DET,2020-11-08,487,Sun,8,9,@,MIN,L 20-34,487,0,2020,2020_09_DET_MIN
LAR,2018-11-04,487,Sun,9,9,@,NOR,L 35-45,487,1,2018,2018_09_LAR_NOR
OAK,2018-09-30,487,Sun,4,4,,CLE,W 45-42 (OT),487,4,2018,2018_04_OAK_CLE
MIN,2022-12-04,486,Sun,12,13,,NYJ,W 27-22,486,2,2022,2022_13_MIN_NYJ
MIN,2022-11-13,486,Sun,9,10,@,BUF,W 33-30 (OT),486,4,2022,2022_10_MIN_BUF
JAX,2022-11-13,486,Sun,10,10,@,KAN,L 17-27,486,3,2022,2022_10_JAX_KAN
MIN,2022-09-19,486,Mon,2,2,@,PHI,L 7-24,486,1,2022,2022_02_MIN_PHI
IND,2021-11-04,486,Thu,9,9,,NYJ,W 45-30,486,2,2021,2021_09_IND_NYJ
JAX,2020-10-11,486,Sun,5,5,@,HOU,L 14-30,486,2,2020,2020_05_JAX_HOU
LAC,2022-11-20,485,Sun,10,11,,KAN,L 27-30,485,1,2022,2022_11_LAC_KAN
NOR,2021-10-03,485,Sun,4,4,,NYG,L 21-27 (OT),485,1,2021,2021_04_NOR_NYG
ATL,2021-01-03,485,Sun,16,17,@,TAM,L 27-44,485,1,2020,2020_17_ATL_TAM
DEN,2020-11-01,485,Sun,7,8,,LAC,W 31-30,485,2,2020,2020_08_DEN_LAC
GNB,2017-10-22,485,Sun,7,7,,NOR,L 17-26,485,2,2017,2017_07_GNB_NOR
JAX,2020-10-25,484,Sun,7,7,@,LAC,L 29-39,484,0,2020,2020_07_JAX_LAC
LAC,2020-10-04,484,Sun,4,4,@,TAM,L 31-38,484,1,2020,2020_04_LAC_TAM
GNB,2019-10-20,484,Sun,7,7,,OAK,W 42-24,484,2,2019,2019_07_GNB_OAK
NOR,2018-11-04,483,Sun,8,9,,LAR,W 45-35,483,1,2018,2018_09_NOR_LAR
TAM,2018-09-30,483,Sun,4,4,@,CHI,L 10-48,483,0,2018,2018_04_TAM_CHI
CHI,2023-01-08,482,Sun,17,18,,MIN,L 13-29,482,2,2022,2022_18_CHI_MIN
CIN,2017-12-10,482,Sun,13,14,,CHI,L 7-33,482,0,2017,2017_14_CIN_CHI
BUF,2017-11-12,482,Sun,9,10,,NOR,L 10-47,482,1,2017,2017_10_BUF_NOR
PIT,2017-10-29,482,Sun,8,8,@,DET,W 20-15,482,1,2017,2017_08_PIT_DET
BUF,2022-11-13,481,Sun,9,10,,MIN,L 30-33 (OT),481,2,2022,2022_10_BUF_MIN
MIN,2022-01-02,481,Sun,16,17,@,GNB,L 10-37,481,0,2021,2021_17_MIN_GNB
WAS,2021-09-26,481,Sun,3,3,@,BUF,L 21-43,481,0,2021,2021_03_WAS_BUF
KAN,2021-09-19,481,Sun,2,2,@,BAL,L 35-36,481,2,2021,2021_02_KAN_BAL
CLE,2019-12-22,481,Sun,15,16,,BAL,L 15-31,481,1,2019,2019_16_CLE_BAL
OAK,2019-10-20,481,Sun,6,7,@,GNB,L 24-42,481,0,2019,2019_07_OAK_GNB
CIN,2018-10-14,481,Sun,6,6,,PIT,L 21-28,481,0,2018,2018_06_CIN_PIT
TEN,2020-09-20,480,Sun,2,2,,JAX,W 33-30,480,2,2020,2020_02_TEN_JAX
LAR,2019-11-25,480,Mon,11,12,,BAL,L 6-45,480,0,2019,2019_12_LAR_BAL
GNB,2018-09-16,480,Sun,2,2,,MIN,T 29-29 (OT),480,1,2018,2018_02_GNB_MIN
NWE,2018-09-16,480,Sun,2,2,@,JAX,L 20-31,480,2,2018,2018_02_NWE_JAX
KAN,2020-09-20,479,Sun,2,2,@,LAC,W 23-20 (OT),479,1,2020,2020_02_KAN_LAC
DEN,2018-11-18,479,Sun,10,11,@,LAC,W 23-22,479,2,2018,2018_11_DEN_LAC
HOU,2017-10-29,479,Sun,7,8,@,SEA,L 38-41,479,1,2017,2017_08_HOU_SEA
CAR,2023-01-01,478,Sun,16,17,@,TAM,L 24-30,478,1,2022,2022_17_CAR_TAM
ATL,2022-10-30,478,Sun,8,8,,CAR,W 37-34 (OT),478,1,2022,2022_08_ATL_CAR
BUF,2020-09-27,478,Sun,3,3,,LAR,W 35-32,478,2,2020,2020_03_BUF_LAR
HOU,2018-09-30,478,Sun,4,4,@,IND,W 37-34 (OT),478,2,2018,2018_04_HOU_IND
DAL,2020-12-27,477,Sun,15,16,,PHI,W 37-17,477,3,2020,2020_16_DAL_PHI
DEN,2019-12-29,477,Sun,16,17,,OAK,W 16-15,477,1,2019,2019_17_DEN_OAK
SEA,2019-10-03,477,Thu,5,5,,LAR,W 30-29,477,2,2019,2019_05_SEA_LAR
ARI,2019-09-08,477,Sun,1,1,,DET,T 27-27 (OT),477,2,2019,2019_01_ARI_DET
IND,2017-10-01,477,Sun,4,4,@,SEA,L 18-46,477,2,2017,2017_04_IND_SEA
DET,2022-10-30,476,Sun,7,8,,MIA,L 27-31,476,1,2022,2022_08_DET_MIA
SEA,2021-10-07,476,Thu,5,5,,LAR,L 17-26,476,1,2021,2021_05_SEA_LAR
MIA,2019-09-22,476,Sun,3,3,@,DAL,L 6-31,476,1,2019,2019_03_MIA_DAL
SEA,2018-11-25,476,Sun,11,12,@,CAR,W 30-27,476,1,2018,2018_12_SEA_CAR
PHI,2022-01-08,475,Sat,17,18,,DAL,L 26-51,475,0,2021,2021_18_PHI_DAL
KAN,2022-01-02,475,Sun,16,17,@,CIN,L 31-34,475,0,2021,2021_17_KAN_CIN
LAR,2019-12-15,475,Sun,14,15,@,DAL,L 21-44,475,0,2019,2019_15_LAR_DAL
KAN,2018-09-16,475,Sun,2,2,@,PIT,W 42-37,475,0,2018,2018_02_KAN_PIT
TAM,2018-09-09,475,Sun,1,1,@,NOR,W 48-40,475,2,2018,2018_01_TAM_NOR
MIN,2021-09-19,474,Sun,2,2,@,ARI,L 33-34,474,2,2021,2021_02_MIN_ARI
NWE,2020-12-28,474,Mon,15,16,,BUF,L 9-38,474,0,2020,2020_16_NWE_BUF
WAS,2019-09-15,474,Sun,2,2,,DAL,L 21-31,474,1,2019,2019_02_WAS_DAL
NYJ,2017-12-03,474,Sun,12,13,,KAN,W 38-31,474,0,2017,2017_13_NYJ_KAN
NYG,2017-11-12,474,Sun,9,10,@,SFO,L 21-31,474,2,2017,2017_10_NYG_SFO
MIA,2022-09-18,473,Sun,2,2,@,BAL,W 42-38,473,0,2022,2022_02_MIA_BAL
OAK,2019-11-03,473,Sun,8,9,,DET,W 31-24,473,2,2019,2019_09_OAK_DET
NYG,2017-11-05,473,Sun,8,9,,LAR,L 17-51,473,0,2017,2017_09_NYG_LAR
IND,2017-10-16,473,Mon,6,6,@,TEN,L 22-36,473,1,2017,2017_06_IND_TEN
KAN,2019-10-13,472,Sun,6,6,,HOU,L 24-31,472,3,2019,2019_06_KAN_HOU
CLE,2018-09-09,472,Sun,1,1,,PIT,T 21-21 (OT),472,6,2018,2018_01_CLE_PIT
SFO,2017-12-24,472,Sun,15,16,,JAX,W 44-33,472,3,2017,2017_16_SFO_JAX
OAK,2017-09-24,472,Sun,3,3,@,WAS,L 10-27,472,2,2017,2017_03_OAK_WAS
LAC,2023-01-08,471,Sun,17,18,@,DEN,L 28-31,471,2,2022,2022_18_LAC_DEN
JAX,2022-01-02,471,Sun,16,17,@,NWE,L 10-50,471,0,2021,2021_17_JAX_NWE
PHI,2021-10-03,471,Sun,4,4,,KAN,L 30-42,471,1,2021,2021_04_PHI_KAN
MIA,2020-11-01,471,Sun,7,8,,LAR,W 28-17,471,4,2020,2020_08_MIA_LAR
JAX,2019-11-24,471,Sun,11,12,@,TEN,L 20-42,471,2,2019,2019_12_JAX_TEN
MIN,2018-12-02,471,Sun,12,13,@,NWE,L 10-24,471,1,2018,2018_13_MIN_NWE
JAX,2017-10-01,471,Sun,4,4,@,NYJ,L 20-23 (OT),471,2,2017,2017_04_JAX_NYJ
CIN,2019-10-27,470,Sun,8,8,@,LAR,L 10-24,470,0,2019,2019_08_CIN_LAR
DAL,2019-09-08,470,Sun,1,1,,NYG,W 35-17,470,2,2019,2019_01_DAL_NYG
SEA,2018-09-09,470,Sun,1,1,@,DEN,L 24-27,470,3,2018,2018_01_SEA_DEN
NOR,2017-09-11,470,Mon,1,1,@,MIN,L 19-29,470,0,2017,2017_01_NOR_MIN
OAK,2018-12-02,469,Sun,12,13,,KAN,L 33-40,469,1,2018,2018_13_OAK_KAN
CLE,2020-10-25,468,Sun,7,7,@,CIN,W 37-34,468,2,2020,2020_07_CLE_CIN
SEA,2018-10-07,468,Sun,5,5,,LAR,L 31-33,468,2,2018,2018_05_SEA_LAR
NYJ,2022-01-02,467,Sun,16,17,,TAM,L 24-28,467,1,2021,2021_17_NYJ_TAM
MIN,2021-11-21,467,Sun,10,11,,GNB,W 34-31,467,0,2021,2021_11_MIN_GNB
HOU,2021-10-31,467,Sun,8,8,,LAR,L 22-38,467,0,2021,2021_08_HOU_LAR
CHI,2021-10-31,467,Sun,8,8,,SFO,L 22-33,467,0,2021,2021_08_CHI_SFO
NWE,2020-10-25,467,Sun,6,7,,SFO,L 6-33,467,2,2020,2020_07_NWE_SFO
HOU,2019-12-29,467,Sun,16,17,,TEN,L 14-35,467,0,2019,2019_17_HOU_TEN
MIA,2019-11-24,467,Sun,11,12,@,CLE,L 24-41,467,1,2019,2019_12_MIA_CLE
OAK,2019-09-15,467,Sun,2,2,,KAN,L 10-28,467,1,2019,2019_02_OAK_KAN
MIA,2018-10-14,467,Sun,6,6,,CHI,W 31-28 (OT),467,3,2018,2018_06_MIA_CHI
CHI,2022-11-27,466,Sun,12,12,@,NYJ,L 10-31,466,0,2022,2022_12_CHI_NYJ
TAM,2021-12-12,466,Sun,13,14,,BUF,W 33-27 (OT),466,1,2021,2021_14_TAM_BUF
CIN,2021-10-10,466,Sun,5,5,,GNB,L 22-25 (OT),466,1,2021,2021_05_CIN_GNB
BUF,2020-10-19,466,Mon,6,6,,KAN,L 17-26,466,1,2020,2020_06_BUF_KAN
IND,2018-09-30,466,Sun,4,4,,HOU,L 34-37 (OT),466,1,2018,2018_04_IND_HOU
CLE,2022-10-09,465,Sun,5,5,,LAC,L 28-30,465,0,2022,2022_05_CLE_LAC
LAR,2021-10-03,465,Sun,4,4,,ARI,L 20-37,465,0,2021,2021_04_LAR_ARI
DEN,2021-01-03,465,Sun,16,17,,LVR,L 31-32,465,4,2020,2020_17_DEN_LVR
SFO,2019-12-08,465,Sun,13,14,@,NOR,W 48-46,465,1,2019,2019_14_SFO_NOR
PIT,2019-09-08,465,Sun,1,1,@,NWE,L 3-33,465,0,2019,2019_01_PIT_NWE
MIN,2022-12-11,464,Sun,13,14,@,DET,L 23-34,464,0,2022,2022_14_MIN_DET
CAR,2022-11-06,464,Sun,9,9,@,CIN,L 21-42,464,0,2022,2022_09_CAR_CIN
DET,2020-11-15,464,Sun,9,10,,WAS,W 30-27,464,1,2020,2020_10_DET_WAS
TEN,2020-09-27,464,Sun,3,3,@,MIN,W 31-30,464,3,2020,2020_03_TEN_MIN
