Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
DEN,2019-10-06,32,Sun,5,5,@,LAC,W 20-13,32,48,66.7,211,0,0,0,2,58.6,2019,2019_05_DEN_LAC
NOR,2019-09-22,32,Sun,3,3,@,SEA,W 33-27,32,50,64.0,406,2,0,0,0,102.6,2019,2019_03_NOR_SEA
HOU,2019-09-09,32,Mon,1,1,@,NOR,L 28-30,32,43,74.4,362,2,1,8,1,105.0,2019,2019_01_HOU_NOR
TAM,2018-12-30,32,Sun,16,17,,ATL,L 32-34,32,45,71.1,380,3,1,3,1,109.5,2018,2018_17_TAM_ATL
NWE,2018-12-02,32,Sun,12,13,,MIN,W 24-10,32,44,72.7,183,1,2,18,2,68.7,2018,2018_13_NWE_MIN
DAL,2018-11-11,32,Sun,9,10,@,PHI,W 27-20,32,44,72.7,350,2,2,10,1,101.5,2018,2018_10_DAL_PHI
CLE,2018-10-21,32,Sun,7,7,@,TAM,L 23-26 (OT),32,52,61.5,342,0,4,23,2,64.7,2018,2018_07_CLE_TAM
CIN,2018-10-14,32,Sun,6,6,,PIT,L 21-28,32,46,69.6,369,1,0,0,0,100.7,2018,2018_06_CIN_PIT
DET,2018-10-07,32,Sun,5,5,,GNB,W 31-23,32,52,61.5,423,3,4,19,0,106.5,2018,2018_05_DET_GNB
ATL,2018-09-16,32,Sun,2,2,,CAR,W 31-24,32,45,71.1,318,3,2,17,1,103.7,2018,2018_02_ATL_CAR
CIN,2018-09-13,32,Thu,2,2,,BAL,W 34-23,32,55,58.2,359,2,4,17,2,74.7,2018,2018_02_CIN_BAL
SFO,2017-12-24,32,Sun,15,16,,JAX,W 44-33,32,50,64.0,380,2,1,2,3,75.4,2017,2017_16_SFO_JAX
LAC,2017-10-29,32,Sun,8,8,@,NWE,L 13-21,32,47,68.1,317,1,3,16,0,94.0,2017,2017_08_LAC_NWE
BUF,2017-10-22,32,Sun,6,7,,TAM,W 30-27,32,44,72.7,378,3,1,6,1,111.7,2017,2017_07_BUF_TAM
CAR,2017-10-01,32,Sun,4,4,@,NWE,W 33-30,32,45,71.1,293,2,3,14,0,103.3,2017,2017_04_CAR_NWE
SFO,2022-12-15,31,Thu,14,15,@,SEA,W 21-13,31,44,70.5,207,1,3,31,0,88.0,2022,2022_15_SFO_SEA
DET,2022-12-11,31,Sun,13,14,,MIN,W 34-23,31,41,75.6,394,2,4,31,0,121.4,2022,2022_14_DET_MIN
JAX,2022-12-04,31,Sun,12,13,@,DET,L 14-40,31,41,75.6,337,2,2,3,0,115.6,2022,2022_13_JAX_DET
MIN,2022-12-04,31,Sun,12,13,,NYJ,W 27-22,31,58,53.4,366,0,1,3,2,58.5,2022,2022_13_MIN_NYJ
NWE,2022-11-24,31,Thu,11,12,@,MIN,L 26-33,31,38,81.6,301,3,1,9,1,115.0,2022,2022_12_NWE_MIN
MIN,2022-10-30,31,Sun,7,8,,ARI,W 34-26,31,44,70.5,297,3,4,29,2,92.7,2022,2022_08_MIN_ARI
GNB,2022-09-25,31,Sun,3,3,@,TAM,W 14-12,31,42,73.8,251,1,3,20,0,96.4,2022,2022_03_GNB_TAM
LVR,2022-09-18,31,Sun,2,2,,ARI,L 23-29 (OT),31,49,63.3,270,1,1,7,1,76.1,2022,2022_02_LVR_ARI
MIN,2022-01-02,31,Sun,16,17,@,GNB,L 10-37,31,42,73.8,307,2,0,0,0,109.9,2021,2021_17_MIN_GNB
LAC,2021-12-16,31,Thu,14,15,,KAN,L 28-34 (OT),31,47,66.0,410,3,1,0,1,105.8,2021,2021_15_LAC_KAN
BUF,2021-12-12,31,Sun,13,14,@,TAM,L 27-33 (OT),31,46,67.4,351,2,2,12,0,104.5,2021,2021_14_BUF_TAM
CLE,2021-12-12,31,Sun,13,14,,BAL,W 24-22,31,42,73.8,271,1,4,16,0,98.4,2021,2021_14_CLE_BAL
TEN,2021-11-07,31,Sun,9,9,@,LAR,W 28-16,31,48,64.6,253,1,5,41,2,67.4,2021,2021_09_TEN_LAR
JAX,2021-11-07,31,Sun,8,9,,BUF,W 9-6,31,47,66.0,229,0,4,35,2,59.6,2021,2021_09_JAX_BUF
TEN,2021-10-24,31,Sun,7,7,,KAN,W 27-3,31,51,60.8,257,0,4,31,1,65.6,2021,2021_07_TEN_KAN
PHI,2021-10-24,31,Sun,7,7,@,LVR,L 22-33,31,34,91.2,323,2,0,0,1,113.6,2021,2021_07_PHI_LVR
DAL,2021-09-19,31,Sun,2,2,@,LAC,W 20-17,31,41,75.6,313,1,2,25,2,84.7,2021,2021_02_DAL_LAC
WAS,2021-09-12,31,Sun,1,1,,LAC,L 16-20,31,47,66.0,334,1,2,3,1,84.9,2021,2021_01_WAS_LAC
SFO,2020-12-26,31,Sat,15,16,@,ARI,W 20-12,31,50,62.0,230,0,3,17,1,64.6,2020,2020_16_SFO_ARI
DET,2020-12-26,31,Sat,15,16,,TAM,L 7-47,31,42,73.8,477,6,2,14,0,150.5,2020,2020_16_DET_TAM
ATL,2020-12-20,31,Sun,14,15,,TAM,L 27-31,31,45,68.9,365,2,3,25,0,108.1,2020,2020_15_ATL_TAM
TEN,2020-12-13,31,Sun,13,14,@,JAX,W 31-10,31,54,57.4,263,1,0,0,1,68.7,2020,2020_14_TEN_JAX
BAL,2020-12-08,31,Tue,12,13,,DAL,W 34-17,31,48,64.6,277,2,1,8,1,85.2,2020,2020_13_BAL_DAL
PIT,2020-12-07,31,Mon,12,13,,WAS,L 17-23,31,46,67.4,273,1,3,23,0,90.2,2020,2020_13_PIT_WAS
BUF,2020-11-29,31,Sun,11,12,,LAC,W 27-17,31,52,59.6,291,1,3,25,1,73.5,2020,2020_12_BUF_LAC
SEA,2020-11-08,31,Sun,8,9,@,BUF,L 34-44,31,38,81.6,386,3,7,29,0,135.3,2020,2020_09_SEA_BUF
MIN,2020-11-08,31,Sun,8,9,,DET,W 34-20,31,45,68.9,292,2,2,13,3,73.6,2020,2020_09_MIN_DET
DAL,2020-11-08,31,Sun,9,9,,PIT,L 19-24,31,45,68.9,309,3,0,0,0,110.3,2020,2020_09_DAL_PIT
CHI,2020-11-01,31,Sun,8,8,,NOR,L 23-26 (OT),31,41,75.6,272,2,1,8,0,109.0,2020,2020_08_CHI_NOR
DET,2020-10-25,31,Sun,6,7,@,ATL,W 23-22,31,42,73.8,322,1,2,16,0,103.5,2020,2020_07_DET_ATL
NYG,2020-10-18,31,Sun,6,6,,WAS,W 20-19,31,42,73.8,251,2,3,29,1,94.4,2020,2020_06_NYG_WAS
HOU,2020-10-11,31,Sun,5,5,,JAX,W 30-14,31,49,63.3,289,2,4,12,0,93.0,2020,2020_05_HOU_JAX
BAL,2020-09-28,31,Mon,3,3,,KAN,L 20-34,31,42,73.8,385,4,0,0,0,133.5,2020,2020_03_BAL_KAN
PHI,2020-09-27,31,Sun,3,3,,CIN,T 23-23 (OT),31,44,70.5,256,2,8,56,0,100.2,2020,2020_03_PHI_CIN
BUF,2020-09-20,31,Sun,2,2,@,MIA,W 31-28,31,47,66.0,311,2,3,17,0,98.8,2020,2020_02_BUF_MIA
ATL,2020-09-13,31,Sun,1,1,,SEA,L 25-38,31,35,88.6,299,4,3,23,0,140.4,2020,2020_01_ATL_SEA
KAN,2019-12-29,31,Sun,16,17,,LAC,W 31-21,31,46,67.4,258,2,3,23,2,78.0,2019,2019_17_KAN_LAC
CIN,2019-12-22,31,Sun,15,16,@,MIA,L 35-38 (OT),31,52,59.6,406,4,2,13,1,101.9,2019,2019_16_CIN_MIA
DAL,2019-12-22,31,Sun,15,16,@,PHI,L 9-17,31,40,77.5,313,1,1,6,0,107.6,2019,2019_16_DAL_PHI
ATL,2019-11-17,31,Sun,10,11,@,CAR,W 29-3,31,50,62.0,270,0,5,55,4,42.9,2019,2019_11_ATL_CAR
NYJ,2019-10-21,31,Mon,6,7,,NWE,L 0-33,31,45,68.9,249,1,0,0,1,80.7,2019,2019_07_NYJ_NWE
NYG,2019-10-10,31,Thu,6,6,@,NWE,L 14-35,31,41,75.6,313,0,3,21,1,86.7,2019,2019_06_NYG_NWE
HOU,2019-09-22,31,Sun,3,3,@,LAC,W 27-20,31,46,67.4,293,2,5,25,0,99.3,2019,2019_03_HOU_LAC
LAC,2018-12-30,31,Sun,16,17,@,DEN,W 23-9,31,48,64.6,288,1,1,4,1,79.2,2018,2018_17_LAC_DEN
CIN,2018-12-30,31,Sun,16,17,@,PIT,L 13-16,31,45,68.9,278,1,1,9,1,83.4,2018,2018_17_CIN_PIT
NYG,2018-12-23,31,Sun,15,16,@,IND,L 27-28,31,47,66.0,353,2,1,4,1,93.7,2018,2018_16_NYG_IND
CLE,2018-12-15,31,Sat,14,15,@,DEN,W 17-16,31,48,64.6,238,0,2,19,2,59.2,2018,2018_15_CLE_DEN
ARI,2018-12-02,31,Sun,12,13,@,GNB,W 20-17,31,50,62.0,227,1,1,6,0,79.3,2018,2018_13_ARI_GNB
MIA,2018-11-25,31,Sun,11,12,@,IND,L 24-27,31,38,81.6,337,3,1,10,2,108.0,2018,2018_12_MIA_IND
KAN,2018-11-19,31,Mon,11,11,@,LAR,L 51-54,31,49,63.3,379,4,5,34,0,114.2,2018,2018_11_KAN_LAR
CHI,2018-11-04,31,Sun,8,9,@,BUF,W 41-9,31,49,63.3,166,0,4,22,3,43.4,2018,2018_09_CHI_BUF
NOR,2018-10-28,31,Sun,7,8,@,MIN,W 30-20,31,41,75.6,338,2,4,21,1,105.5,2018,2018_08_NOR_MIN
NYG,2018-10-22,31,Mon,7,7,@,ATL,L 20-23,31,39,79.5,356,1,3,23,0,113.2,2018,2018_07_NYG_ATL
TAM,2018-10-14,31,Sun,5,6,@,ATL,L 29-34,31,41,75.6,347,3,1,8,0,124.7,2018,2018_06_TAM_ATL
PIT,2018-10-07,31,Sun,5,5,,ATL,W 41-17,31,45,68.9,262,1,6,43,0,91.2,2018,2018_05_PIT_ATL
NOR,2018-09-30,31,Sun,4,4,@,NYG,W 33-18,31,41,75.6,234,1,3,21,0,97.0,2018,2018_04_NOR_NYG
TEN,2017-12-17,31,Sun,14,15,@,SFO,L 23-25,31,43,72.1,363,1,3,18,0,105.1,2017,2017_15_TEN_SFO
DET,2017-12-16,31,Sat,14,15,,CHI,W 20-10,31,46,67.4,306,1,2,8,3,66.0,2017,2017_15_DET_CHI
DAL,2017-12-10,31,Sun,13,14,@,NYG,W 30-10,31,46,67.4,228,1,0,0,2,68.0,2017,2017_14_DAL_NYG
TEN,2017-12-03,31,Sun,12,13,,HOU,W 24-13,31,49,63.3,331,1,4,34,1,81.2,2017,2017_13_TEN_HOU
CLE,2017-12-03,31,Sun,12,13,@,LAC,L 10-19,31,43,72.1,335,1,1,9,0,102.4,2017,2017_13_CLE_LAC
BUF,2017-10-29,31,Sun,7,8,,OAK,W 34-14,31,49,63.3,313,1,0,0,2,71.2,2017,2017_08_BUF_OAK
NYG,2017-10-15,31,Sun,6,6,@,DEN,W 23-10,31,54,57.4,366,1,4,28,2,68.9,2017,2017_06_NYG_DEN
NWE,2017-10-15,31,Sun,6,6,@,NYJ,W 24-17,31,47,66.0,334,2,4,20,2,83.1,2017,2017_06_NWE_NYJ
PIT,2017-10-01,31,Sun,4,4,@,BAL,W 26-9,31,49,63.3,206,1,4,29,2,62.1,2017,2017_04_PIT_BAL
TAM,2017-09-17,31,Sun,1,2,,CHI,W 29-7,31,45,68.9,290,1,1,11,2,75.2,2017,2017_02_TAM_CHI
MIA,2017-09-17,31,Sun,1,2,@,LAC,W 19-17,31,39,79.5,323,1,1,8,0,109.7,2017,2017_02_MIA_LAC
DEN,2023-01-08,30,Sun,17,18,,LAC,W 31-28,30,44,68.2,293,3,1,5,0,109.4,2022,2022_18_DEN_LAC
MIN,2022-12-24,30,Sat,15,16,,NYG,W 27-24,30,42,71.4,319,1,3,15,1,91.3,2022,2022_16_MIN_NYG
CIN,2022-12-18,30,Sun,14,15,@,TAM,W 34-23,30,44,68.2,304,3,1,8,2,91.5,2022,2022_15_CIN_TAM
TEN,2022-12-11,30,Sun,13,14,,JAX,L 22-36,30,42,71.4,368,3,0,0,0,121.9,2022,2022_14_TEN_JAX
DEN,2022-12-04,30,Sun,12,13,@,BAL,L 9-10,30,37,81.1,182,0,4,16,2,64.6,2022,2022_13_DEN_BAL
TEN,2022-12-04,30,Sun,12,13,@,PHI,L 10-35,30,41,73.2,386,3,2,5,0,126.7,2022,2022_13_TEN_PHI
SFO,2022-11-21,30,Mon,10,11,@,ARI,W 38-10,30,44,68.2,247,0,3,30,2,63.4,2022,2022_11_SFO_ARI
BUF,2022-11-13,30,Sun,9,10,,MIN,L 30-33 (OT),30,50,60.0,334,1,4,23,2,69.9,2022,2022_10_BUF_MIN
ATL,2022-11-06,30,Sun,9,9,,LAC,L 17-20,30,43,69.8,245,1,0,0,1,82.0,2022,2022_09_ATL_LAC
MIN,2022-10-16,30,Sun,6,6,@,MIA,W 24-16,30,47,63.8,385,2,6,33,2,85.9,2022,2022_06_MIN_MIA
DET,2022-09-18,30,Sun,2,2,,WAS,W 36-27,30,46,65.2,308,3,5,29,1,97.0,2022,2022_02_DET_WAS
ARI,2022-09-11,30,Sun,1,1,,KAN,L 21-44,30,39,76.9,360,5,0,0,0,144.2,2022,2022_01_ARI_KAN
BAL,2022-01-09,30,Sun,17,18,,PIT,L 13-16 (OT),30,44,68.2,235,1,1,9,1,79.3,2021,2021_18_BAL_PIT
KAN,2022-01-02,30,Sun,16,17,@,CIN,L 31-34,30,40,75.0,415,4,4,31,0,141.1,2021,2021_17_KAN_CIN
WAS,2021-12-26,30,Sun,15,16,@,DAL,L 14-56,30,42,71.4,389,5,3,11,0,139.8,2021,2021_16_WAS_DAL
NWE,2021-12-26,30,Sun,15,16,,BUF,L 21-33,30,47,63.8,314,3,0,0,0,104.4,2021,2021_16_NWE_BUF
TAM,2021-12-05,30,Sun,12,13,@,ATL,W 30-17,30,41,73.2,259,0,5,38,0,89.4,2021,2021_13_TAM_ATL
SFO,2021-12-05,30,Sun,12,13,@,SEA,L 23-30,30,37,81.1,181,2,4,50,1,93.8,2021,2021_13_SFO_SEA
NYG,2021-12-05,30,Sun,12,13,@,MIA,L 9-20,30,41,73.2,229,2,2,15,0,102.6,2021,2021_13_NYG_MIA
DET,2021-12-05,30,Sun,12,13,,MIN,W 29-27,30,41,73.2,326,2,3,14,0,112.4,2021,2021_13_DET_MIN
PIT,2021-11-21,30,Sun,10,11,@,LAC,L 37-41,30,41,73.2,374,3,2,8,1,115.3,2021,2021_11_PIT_LAC
DET,2021-11-14,30,Sun,9,10,@,PIT,T 16-16 (OT),30,50,60.0,242,1,0,0,1,70.6,2021,2021_10_DET_PIT
NYG,2021-11-07,30,Sun,9,9,,LVR,W 23-16,30,46,65.2,286,1,1,10,2,71.5,2021,2021_09_NYG_LVR
NYJ,2021-10-03,30,Sun,4,4,,TEN,W 27-24 (OT),30,49,61.2,253,1,7,45,0,81.4,2021,2021_04_NYJ_TEN
SEA,2021-09-26,30,Sun,3,3,@,MIN,L 17-30,30,38,78.9,313,3,1,10,0,127.3,2021,2021_03_SEA_MIN
NOR,2021-09-26,30,Sun,3,3,@,NWE,W 28-13,30,51,58.8,251,1,2,19,3,53.6,2021,2021_03_NOR_NWE
PIT,2021-09-12,30,Sun,1,1,@,BUF,W 23-16,30,51,58.8,254,1,3,16,0,78.4,2021,2021_01_PIT_BUF
NWE,2020-12-28,30,Mon,15,16,,BUF,L 9-38,30,40,75.0,344,4,0,0,0,133.7,2020,2020_16_NWE_BUF
DEN,2020-12-13,30,Sun,13,14,@,CAR,W 32-27,30,40,75.0,245,0,4,38,0,90.1,2020,2020_14_DEN_CAR
CAR,2020-11-08,30,Sun,9,9,@,KAN,L 31-33,30,45,66.7,361,4,2,11,0,120.7,2020,2020_09_CAR_KAN
CAR,2020-10-25,30,Sun,7,7,@,NOR,L 24-27,30,37,81.1,277,2,1,10,0,115.9,2020,2020_07_CAR_NOR
NYJ,2020-10-25,30,Sun,7,7,,BUF,L 10-18,30,43,69.8,296,0,2,11,0,88.9,2020,2020_07_NYJ_BUF
HOU,2020-10-18,30,Sun,6,6,@,TEN,L 36-42 (OT),30,41,73.2,344,4,2,22,1,120.4,2020,2020_06_HOU_TEN
MIN,2020-10-18,30,Sun,6,6,,ATL,L 23-40,30,40,75.0,363,4,2,8,0,135.7,2020,2020_06_MIN_ATL
TAM,2020-10-08,30,Thu,5,5,@,CHI,L 19-20,30,42,71.4,208,1,3,35,1,80.3,2020,2020_05_TAM_CHI
LAC,2020-10-04,30,Sun,4,4,@,TAM,L 31-38,30,46,65.2,369,5,0,0,1,117.0,2020,2020_04_LAC_TAM
MIA,2020-09-24,30,Thu,3,3,@,JAX,W 31-13,30,42,71.4,246,0,4,29,1,76.1,2020,2020_03_MIA_JAX
SEA,2020-09-20,30,Sun,2,2,,NWE,W 35-30,30,44,68.2,397,1,1,0,1,94.6,2020,2020_02_SEA_NWE
TEN,2020-09-20,30,Sun,2,2,,JAX,W 33-30,30,45,66.7,315,3,2,24,2,90.5,2020,2020_02_TEN_JAX
TAM,2019-12-29,30,Sun,16,17,,ATL,L 22-28 (OT),30,51,58.8,286,1,6,27,0,81.0,2019,2019_17_TAM_ATL
WAS,2019-12-15,30,Sun,14,15,,PHI,L 27-37,30,43,69.8,258,3,2,8,0,108.5,2019,2019_15_WAS_PHI
ARI,2019-12-15,30,Sun,14,15,,CLE,W 38-24,30,43,69.8,241,2,1,6,1,89.4,2019,2019_15_ARI_CLE
CAR,2019-11-24,30,Sun,11,12,@,NOR,L 31-34,30,39,76.9,300,3,2,11,1,113.2,2019,2019_12_CAR_NOR
NOR,2019-11-17,30,Sun,10,11,@,TAM,W 34-17,30,51,58.8,298,2,2,15,4,55.8,2019,2019_11_NOR_TAM
ARI,2019-11-10,30,Sun,10,10,@,TAM,L 27-30,30,48,62.5,339,1,4,19,2,73.2,2019,2019_10_ARI_TAM
BAL,2019-11-03,30,Sun,8,9,,NWE,W 37-20,30,46,65.2,268,1,2,17,1,78.9,2019,2019_09_BAL_NWE
MIN,2019-10-20,30,Sun,7,7,@,DET,W 42-30,30,45,66.7,352,4,2,12,1,110.6,2019,2019_07_MIN_DET
KAN,2019-10-13,30,Sun,6,6,,HOU,L 24-31,30,42,71.4,280,1,0,0,2,77.5,2019,2019_06_KAN_HOU
ARI,2019-10-13,30,Sun,6,6,,ATL,W 34-33,30,36,83.3,341,4,2,15,0,143.2,2019,2019_06_ARI_ATL
CAR,2019-10-13,30,Sun,6,6,@,TAM,W 37-26,30,54,55.6,365,1,7,35,5,44.1,2019,2019_06_CAR_TAM
CHI,2019-09-23,30,Mon,3,3,@,WAS,W 31-15,30,43,69.8,287,2,4,45,3,74.5,2019,2019_03_CHI_WAS
NYJ,2019-09-22,30,Sun,3,3,@,NWE,L 14-30,30,45,66.7,313,2,1,7,1,92.2,2019,2019_03_NYJ_NWE
CAR,2019-09-22,30,Sun,3,3,@,ARI,W 38-20,30,43,69.8,127,2,8,46,2,68.8,2019,2019_03_CAR_ARI
OAK,2019-09-15,30,Sun,2,2,,KAN,L 10-28,30,44,68.2,436,4,2,7,0,130.5,2019,2019_02_OAK_KAN
PHI,2019-09-08,30,Sun,1,1,,WAS,W 32-27,30,44,68.2,370,3,1,10,0,116.7,2019,2019_01_PHI_WAS
SEA,2018-12-02,30,Sun,12,13,,SFO,W 43-16,30,48,62.5,386,2,3,28,1,92.9,2018,2018_13_SEA_SFO
CHI,2018-11-18,30,Sun,10,11,,MIN,W 25-20,30,46,65.2,246,2,2,16,2,75.1,2018,2018_11_CHI_MIN
ATL,2018-11-04,30,Sun,8,9,@,WAS,W 38-14,30,46,65.2,287,1,3,19,1,80.6,2018,2018_09_ATL_WAS
KAN,2018-11-04,30,Sun,9,9,@,CLE,W 37-21,30,43,69.8,286,2,2,22,1,93.8,2018,2018_09_KAN_CLE
WAS,2018-10-28,30,Sun,7,8,@,NYG,W 20-13,30,47,63.8,266,1,7,50,2,68.2,2018,2018_08_WAS_NYG
CAR,2018-10-21,30,Sun,6,7,@,PHI,W 21-17,30,37,81.1,284,2,4,26,0,116.7,2018,2018_07_CAR_PHI
ATL,2018-10-14,30,Sun,6,6,,TAM,W 34-29,30,41,73.2,389,4,2,6,2,114.8,2018,2018_06_ATL_TAM
PHI,2018-10-07,30,Sun,5,5,,MIN,L 21-23,30,37,81.1,298,1,1,3,0,109.2,2018,2018_05_PHI_MIN
PHI,2018-09-30,30,Sun,4,4,@,TEN,L 23-26 (OT),30,43,69.8,327,2,3,17,1,97.7,2018,2018_04_PHI_TEN
PIT,2018-09-24,30,Mon,3,3,@,TAM,W 30-27,30,50,60.0,392,3,3,19,3,79.7,2018,2018_03_PIT_TAM
TAM,2018-09-24,30,Mon,3,3,,PIT,L 27-30,30,38,78.9,335,3,3,18,1,118.8,2018,2018_03_TAM_PIT
MIN,2018-09-16,30,Sun,2,2,@,GNB,T 29-29 (OT),30,42,71.4,253,1,4,28,0,94.6,2018,2018_02_MIN_GNB
BUF,2017-12-31,30,Sun,16,17,@,MIA,W 22-16,30,44,68.2,263,1,1,8,1,81.9,2017,2017_17_BUF_MIA
OAK,2017-11-19,30,Sun,10,11,,NWE,L 8-33,30,37,81.1,332,3,1,8,0,131.1,2017,2017_11_OAK_NWE
TEN,2017-11-16,30,Thu,10,11,@,PIT,L 17-40,30,45,66.7,284,4,3,15,0,113.6,2017,2017_11_TEN_PIT
PHI,2017-10-23,30,Mon,7,7,,WAS,W 34-24,30,40,75.0,269,3,4,34,1,107.2,2017,2017_07_PHI_WAS
TAM,2017-10-05,30,Thu,4,5,,NWE,L 14-19,30,40,75.0,289,1,3,14,1,92.6,2017,2017_05_TAM_NWE
TAM,2017-10-01,30,Sun,3,4,,NYG,W 25-23,30,49,61.2,288,2,0,0,0,91.2,2017,2017_04_TAM_NYG
NOR,2017-09-17,30,Sun,2,2,,NWE,L 20-36,30,39,76.9,436,3,2,11,0,138.4,2017,2017_02_NOR_NWE
DEN,2017-09-17,30,Sun,2,2,,DAL,W 42-17,30,50,60.0,228,2,2,10,2,67.7,2017,2017_02_DEN_DAL
DEN,2023-01-01,29,Sun,16,17,@,KAN,L 24-27,29,42,69.0,328,3,0,0,1,106.1,2022,2022_17_DEN_KAN
TEN,2022-12-29,29,Thu,16,17,,DAL,L 13-27,29,41,70.7,274,2,1,8,2,84.8,2022,2022_17_TEN_DAL
BAL,2022-11-27,29,Sun,11,12,@,JAX,L 27-28,29,37,78.4,294,3,4,27,0,126.8,2022,2022_12_BAL_JAX
CLE,2022-11-27,29,Sun,11,12,,TAM,W 23-17 (OT),29,43,67.4,229,2,3,17,0,96.0,2022,2022_12_CLE_TAM
MIN,2022-11-13,29,Sun,9,10,@,BUF,W 33-30 (OT),29,43,67.4,311,1,2,19,2,76.8,2022,2022_10_MIN_BUF
KAN,2022-11-13,29,Sun,9,10,,JAX,W 27-17,29,40,72.5,240,2,5,19,0,104.2,2022,2022_10_KAN_JAX
DET,2022-10-30,29,Sun,7,8,,MIA,L 27-31,29,36,80.6,369,3,2,13,0,137.2,2022,2022_08_DET_MIA
KAN,2022-10-23,29,Sun,7,7,@,SFO,W 44-23,29,46,63.0,343,2,5,26,2,82.1,2022,2022_07_KAN_SFO
ATL,2022-10-16,29,Sun,6,6,,SFO,W 28-14,29,41,70.7,296,2,0,0,2,87.0,2022,2022_06_ATL_SFO
LVR,2022-10-10,29,Mon,5,5,@,KAN,L 29-30,29,43,67.4,265,4,3,27,0,115.0,2022,2022_05_LVR_KAN
DAL,2022-10-09,29,Sun,5,5,@,LAR,W 22-10,29,44,65.9,285,1,5,35,1,82.1,2022,2022_05_DAL_LAR
SEA,2022-09-12,29,Mon,1,1,,DEN,W 17-16,29,42,69.0,330,1,2,10,0,100.3,2022,2022_01_SEA_DEN
BUF,2022-09-08,29,Thu,1,1,@,LAR,W 31-10,29,41,70.7,191,1,7,49,3,58.1,2022,2022_01_BUF_LAR
CAR,2022-01-09,29,Sun,17,18,@,TAM,L 17-41,29,39,74.4,324,3,1,2,0,124.3,2021,2021_18_CAR_TAM
TAM,2022-01-09,29,Sun,17,18,,CAR,W 41-17,29,43,67.4,207,2,2,12,1,84.2,2021,2021_18_TAM_CAR
DET,2021-12-19,29,Sun,14,15,,ARI,W 30-12,29,50,58.0,293,1,2,20,1,73.2,2021,2021_15_DET_ARI
CHI,2021-12-12,29,Sun,13,14,@,GNB,L 30-45,29,37,78.4,320,4,3,21,0,138.7,2021,2021_14_CHI_GNB
CLE,2021-11-07,29,Sun,9,9,@,CIN,W 41-16,29,42,69.0,263,0,5,25,2,65.9,2021,2021_09_CLE_CIN
NYG,2021-11-01,29,Mon,8,8,@,KAN,L 17-20,29,48,60.4,261,1,2,14,1,73.4,2021,2021_08_NYG_KAN
MIA,2021-10-31,29,Sun,8,8,@,BUF,L 11-26,29,43,67.4,249,2,0,0,0,97.9,2021,2021_08_MIA_BUF
LAR,2021-10-31,29,Sun,8,8,@,HOU,W 38-22,29,39,74.4,279,2,5,31,1,100.3,2021,2021_08_LAR_HOU
LAR,2021-10-17,29,Sun,6,6,@,NYG,W 38-11,29,51,56.9,201,0,4,41,3,41.4,2021,2021_06_LAR_NYG
SEA,2021-10-17,29,Sun,6,6,@,PIT,L 20-23 (OT),29,40,72.5,226,1,1,3,0,94.4,2021,2021_06_SEA_PIT
IND,2021-10-17,29,Sun,6,6,,HOU,W 31-3,29,43,67.4,229,0,2,14,2,61.1,2021,2021_06_IND_HOU
MIN,2021-09-19,29,Sun,2,2,@,ARI,L 33-34,29,36,80.6,371,3,3,29,2,114.2,2021,2021_02_MIN_ARI
LAR,2021-09-12,29,Sun,1,1,,CHI,W 34-14,29,40,72.5,188,0,3,28,1,71.7,2021,2021_01_LAR_CHI
MIA,2021-09-12,29,Sun,1,1,@,NWE,W 17-16,29,39,74.4,268,1,1,13,0,101.2,2021,2021_01_MIA_NWE
TAM,2021-01-03,29,Sun,16,17,,ATL,W 44-27,29,44,65.9,258,2,1,7,0,96.6,2020,2020_17_TAM_ATL
TEN,2021-01-03,29,Sun,16,17,@,HOU,W 41-38,29,40,72.5,361,3,4,24,1,114.7,2020,2020_17_TEN_HOU
NYG,2021-01-03,29,Sun,16,17,,DAL,W 23-19,29,47,61.7,199,0,6,45,1,62.3,2020,2020_17_NYG_DAL
HOU,2020-12-27,29,Sun,15,16,,CIN,L 31-37,29,38,76.3,371,2,0,0,0,123.9,2020,2020_16_HOU_CIN
BAL,2020-12-14,29,Mon,13,14,@,CLE,W 47-42,29,48,60.4,355,2,0,0,1,88.5,2020,2020_14_BAL_CLE
CLE,2020-12-06,29,Sun,12,13,@,TEN,W 41-35,29,45,64.4,369,3,3,20,1,102.9,2020,2020_13_CLE_TEN
SEA,2020-11-19,29,Thu,10,11,,ARI,W 28-21,29,42,69.0,257,2,3,12,0,101.0,2020,2020_11_SEA_ARI
TEN,2020-11-12,29,Thu,9,10,,IND,L 17-34,29,39,74.4,297,1,1,11,0,104.3,2020,2020_10_TEN_IND
TAM,2020-11-08,29,Sun,9,9,,NOR,L 3-38,29,35,82.9,282,4,1,0,0,138.3,2020,2020_09_TAM_NOR
NYG,2020-11-08,29,Sun,9,9,@,WAS,W 23-20,29,39,74.4,365,1,2,22,3,79.5,2020,2020_09_NYG_WAS
SEA,2020-11-01,29,Sun,7,8,,SFO,W 37-27,29,41,70.7,299,2,3,23,1,97.5,2020,2020_08_SEA_SFO
DEN,2020-11-01,29,Sun,7,8,,LAC,W 31-30,29,44,65.9,275,3,2,3,2,86.8,2020,2020_08_DEN_LAC
